Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763856026,955890,157917,16,1
5,StockLevel,1763856026,955891,16779,12,1
2,Payment,1763856026,955897,111020,41,1
2,Payment,1763856026,955936,152533,5,1
3,OrderStatus,1763856026,955967,48035,7,1
2,Payment,1763856026,955990,150901,10,1
1,NewOrder,1763856026,956061,5309883,39,1
1,NewOrder,1763856026,956125,5183212,1,1
1,NewOrder,1763856026,956382,4551037,37,1
1,NewOrder,1763856026,956418,11077341,38,1
2,Payment,1763856026,956911,141704,43,1
1,NewOrder,1763856026,957068,6211437,36,1
1,NewOrder,1763856026,957109,5863084,28,1
4,Delivery,1763856026,957332,6247020,27,1
4,Delivery,1763856026,957512,6448574,45,1
1,NewOrder,1763856026,957844,20977120,26,1
1,NewOrder,1763856026,958056,9732676,4,1
2,Payment,1763856026,958132,136738,31,1
2,Payment,1763856026,958225,137823,9,1
2,Payment,1763856026,958307,79002,11,1
2,Payment,1763856026,959547,111184,3,1
1,NewOrder,1763856026,960578,6867650,17,1
2,Payment,1763856026,961280,107315,24,1
5,StockLevel,1763856026,962245,32458,48,1
1,NewOrder,1763856026,962310,5845629,40,1
1,NewOrder,1763856026,962374,7229214,47,1
1,NewOrder,1763856026,963123,3883128,25,1
2,Payment,1763856026,963371,124297,49,1
1,NewOrder,1763856026,963964,5829330,50,1
1,NewOrder,1763856026,964129,5457189,32,1
2,Payment,1763856026,964445,166262,52,1
2,Payment,1763856026,964458,141667,42,1
2,Payment,1763856026,965483,97427,2,1
1,NewOrder,1763856026,966434,5264742,30,1
1,NewOrder,1763856026,967992,8469164,18,1
1,NewOrder,1763856026,969657,6198848,29,1
2,Payment,1763856026,970426,161974,8,1
1,NewOrder,1763856026,970450,123175,0,1
2,Payment,1763856026,971119,129004,14,1
1,NewOrder,1763856026,971278,11615150,6,1
2,Payment,1763856027,020599,107469,72,1
2,Payment,1763856027,024789,73322,75,1
1,NewOrder,1763856027,037368,6131137,11,1
1,NewOrder,1763856027,052240,4190681,51,1
2,Payment,1763856027,053800,108289,69,1
2,Payment,1763856027,053927,75278,67,1
1,NewOrder,1763856027,054284,6062395,68,1
2,Payment,1763856027,054299,115081,70,1
2,Payment,1763856027,054801,191230,74,1
2,Payment,1763856027,056469,425980,65,1
1,NewOrder,1763856027,057004,12008252,71,1
1,NewOrder,1763856027,058404,8291328,73,1
2,Payment,1763856027,062985,116737,2,1
1,NewOrder,1763856027,063818,6104687,62,1
1,NewOrder,1763856027,066983,5251434,41,1
2,Payment,1763856027,067440,743654,77,1
2,Payment,1763856027,068661,411542,24,1
1,NewOrder,1763856027,070005,5172817,63,1
1,NewOrder,1763856027,072052,5721232,60,1
2,Payment,1763856027,072074,97306,61,1
1,NewOrder,1763856027,072132,17396547,59,1
2,Payment,1763856027,072156,103252,58,1
1,NewOrder,1763856027,074025,9018241,46,1
1,NewOrder,1763856027,074640,8555876,44,1
1,NewOrder,1763856027,074910,1860130,33,1
1,NewOrder,1763856027,075162,4387489,35,1
4,Delivery,1763856027,075221,7115960,57,1
2,Payment,1763856027,075360,63254,7,1
2,Payment,1763856027,076386,403412,82,1
1,NewOrder,1763856027,078551,4461875,83,1
2,Payment,1763856027,087478,1569885,80,1
1,NewOrder,1763856027,087728,4460648,49,1
1,NewOrder,1763856027,088877,2309578,19,1
1,NewOrder,1763856027,093783,7390602,0,1
2,Payment,1763856027,094922,211166,31,1
1,NewOrder,1763856027,094941,7130200,56,1
4,Delivery,1763856027,094968,7364200,48,1
1,NewOrder,1763856027,095173,1837914,12,1
2,Payment,1763856027,095408,81041,15,1
2,Payment,1763856027,096123,801132,9,1
3,OrderStatus,1763856027,096977,19941,20,1
1,NewOrder,1763856027,098563,5253816,22,1
2,Payment,1763856027,098607,311190,55,1
2,Payment,1763856027,098664,84921,43,1
1,NewOrder,1763856027,099424,8173616,84,1
2,Payment,1763856027,099974,128570,75,1
2,Payment,1763856027,100168,2296262,14,1
2,Payment,1763856027,106953,375640,10,1
1,NewOrder,1763856027,108539,4167575,5,1
1,NewOrder,1763856027,113902,6758339,16,1
1,NewOrder,1763856027,115036,4685237,86,1
2,Payment,1763856027,116988,844026,20,1
2,Payment,1763856027,128137,474633,72,1
2,Payment,1763856027,129305,2835299,34,1
5,StockLevel,1763856027,129318,55502,67,1
1,NewOrder,1763856027,129821,7037657,54,1
2,Payment,1763856027,130771,3274019,52,1
1,NewOrder,1763856027,132475,9686851,8,1
1,NewOrder,1763856027,139075,11234838,7,1
3,OrderStatus,1763856027,142267,128970,85,1
1,NewOrder,1763856027,146308,12474901,23,1
1,NewOrder,1763856027,146308,7838054,53,1
2,Payment,1763856027,146741,1967161,13,1
1,NewOrder,1763856027,146768,4181333,21,1
2,Payment,1763856027,150822,1903620,42,1
2,Payment,1763856027,151483,2244861,87,1
1,NewOrder,1763856027,154507,4995485,64,1
4,Delivery,1763856027,157302,8059813,88,1
2,Payment,1763856027,162150,2235276,69,1
1,NewOrder,1763856027,165818,11191008,81,1
1,NewOrder,1763856027,169463,8123959,70,1
2,Payment,1763856027,169483,2228470,61,1
2,Payment,1763856027,171897,2226067,89,1
2,Payment,1763856027,172958,3673701,79,1
1,NewOrder,1763856027,174759,6894519,3,1
1,NewOrder,1763856027,176521,5462767,15,1
1,NewOrder,1763856027,176937,8259733,58,1
5,StockLevel,1763856027,179547,1584771,78,1
5,StockLevel,1763856027,179758,1863525,2,1
1,NewOrder,1763856027,181056,4802888,76,1
2,Payment,1763856027,181074,2923193,66,1
4,Delivery,1763856027,181960,7354325,90,1
2,Payment,1763856027,183618,2214553,43,1
4,Delivery,1763856027,185009,7299202,67,1
1,NewOrder,1763856027,187380,4857547,91,1
