Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2,000,6742,803,4832,536,6247,020,7115,960,7354,325,8059,813,8059,813,8059,813,8059,813,0,000
5,2,000,3649,098,2548,953,3414,474,3730,314,4093,809,4317,640,4317,640,4317,640,4317,640,0,000
10,1,800,3519,677,2880,292,3406,798,3625,016,3759,547,3934,638,3934,638,3934,638,3934,638,0,000
15,1,400,9838,811,8073,165,8298,379,10135,170,10995,392,11560,141,11560,141,11560,141,11560,141,0,000
20,1,000,8954,082,7540,721,7843,541,8798,711,9776,370,10811,066,10811,066,10811,066,10811,066,0,000
25,2,400,4832,521,3434,300,4573,480,4821,579,5694,965,5799,351,5982,051,5982,051,5982,051,0,000
30,1,000,9844,989,7474,004,9597,399,10082,405,10891,930,11179,209,11179,209,11179,209,11179,209,0,000
35,1,000,11912,045,9938,604,11636,892,12273,231,12454,959,13256,538,13256,538,13256,538,13256,538,0,000
40,1,000,7575,487,6784,048,7152,834,7418,448,7672,913,8849,191,8849,191,8849,191,8849,191,0,000
45,2,200,7080,325,5291,012,6962,096,7353,456,7540,408,7762,670,8191,739,8191,739,8191,739,0,000
50,1,800,7017,284,6030,313,6479,207,6613,554,7422,762,9129,125,9129,125,9129,125,9129,125,0,000
55,4,200,4038,679,2978,215,3708,912,3879,142,4410,373,4814,704,4882,553,4904,560,4904,560,0,000
60,5,400,4110,463,3018,498,3701,225,4231,029,4445,036,4708,252,4757,993,4869,554,4869,554,0,000
65,4,000,5040,890,2259,738,3117,676,3804,150,4191,176,14712,367,14964,013,14964,013,14964,013,0,000
70,2,000,15221,210,11414,601,14957,218,15136,370,16429,827,16680,029,16680,029,16680,029,16680,029,0,000
75,0,000,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-1000,000
80,0,800,5692,811,4248,160,4503,202,5080,915,8938,968,8938,968,8938,968,8938,968,8938,968,0,000
85,4,400,5978,821,2933,998,4743,813,6706,401,6934,426,6989,543,7031,210,7580,750,7580,750,0,000
90,2,000,4547,522,3239,348,3906,079,4385,930,5242,934,6264,565,6264,565,6264,565,6264,565,0,000
95,5,400,3978,053,2633,184,3351,922,3648,999,5019,049,5219,552,5259,539,5538,019,5538,019,0,000
100,3,200,5781,768,3669,703,4369,343,5897,894,7469,215,7969,987,8270,170,8270,170,8270,170,0,000
105,1,800,7219,057,6435,834,6974,641,7167,822,7546,082,8062,233,8062,233,8062,233,8062,233,0,000
110,4,600,7160,629,1981,709,3399,527,9676,307,9932,757,10200,587,10641,825,11529,508,11529,508,0,000
115,0,800,9551,986,9018,659,9289,586,9677,650,10222,047,10222,047,10222,047,10222,047,10222,047,0,000
120,1,400,7319,364,6439,715,6716,575,6803,445,7559,066,10136,775,10136,775,10136,775,10136,775,0,000
125,1,600,5508,897,4006,080,4904,534,5811,579,6571,366,7185,705,7185,705,7185,705,7185,705,0,000
130,5,000,2649,174,2062,964,2394,119,2655,159,2830,557,3188,949,3232,376,3352,225,3352,225,0,000
135,6,400,2839,185,1970,922,2599,979,2859,373,3060,402,3285,183,3466,909,3669,702,3669,702,0,000
140,6,000,2944,961,1852,574,2588,746,2966,311,3320,509,3913,015,4450,142,4619,933,4619,933,0,000
145,3,600,7460,434,3732,681,6713,132,7796,307,8862,651,9595,493,9633,391,9633,391,9633,391,0,000
150,0,800,4117,422,3249,183,3518,497,4220,074,5481,934,5481,934,5481,934,5481,934,5481,934,0,000
155,3,600,3699,243,2323,991,2983,047,3865,352,4209,055,4514,353,6646,076,6646,076,6646,076,0,000
160,2,400,12534,051,3916,090,11941,953,13130,831,14866,622,15343,022,15869,011,15869,011,15869,011,0,000
165,0,200,11390,216,11390,216,11390,216,11390,216,11390,216,11390,216,11390,216,11390,216,11390,216,0,000
170,0,600,6923,793,5254,900,5254,900,6961,302,8555,178,8555,178,8555,178,8555,178,8555,178,0,000
175,0,000,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-1000,000
