Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,147,147,000,16779,191230,3673701,4008610,6247020,8555876,11191008,17396547,20977120
1,7,7,000,2020481,2266819,3142734,5018119,6464397,15501412,15501412,15501412,15501412
2,13,13,000,1929681,2105509,2158289,4520427,6038614,8752255,15244603,15244603,15244603
3,9,9,000,479975,692212,1223742,4573291,1894803,30642910,30642910,30642910,30642910
4,44,44,000,66293,215506,1353793,2632495,3411799,7823896,9991099,14673398,14673398
5,41,41,000,110086,308966,1232813,2403189,3370865,6487798,8328101,10799149,10799149
6,23,23,000,234758,865849,1317564,3271125,4030486,7613126,10914211,17293248,17293248
7,41,41,000,369247,656364,892159,1610331,1828986,4271622,5475737,6758316,6758316
8,74,74,000,53513,220878,426498,1199045,1593614,3556781,4904506,8203557,8203557
9,67,67,000,35575,248785,641261,2338278,2548953,6075567,8353225,23387748,23387748
10,50,50,000,35009,248621,563852,1879289,1501203,5211759,7420522,20523937,20523937
11,65,65,000,111578,245603,549273,1839876,1621288,6103863,6479197,18562286,18562286
12,71,71,000,81117,269413,399929,2040663,3258497,5186735,8066832,16407065,16407065
13,51,51,000,88428,292327,556312,1661154,1509672,2880292,4364351,19012636,19012636
14,59,59,000,46562,260608,1046542,1774426,1680347,3136091,9816494,14171496,14171496
15,39,39,000,74106,247364,410102,1747118,1497675,7302780,12813530,16630367,16630367
16,67,67,000,25573,309888,876998,2755760,2154103,11475439,11702107,13330007,13330007
17,96,96,000,75596,274957,406476,3285242,5962820,11670134,12390782,14471817,14471817
18,34,34,000,54997,867790,3348841,3914591,5355416,10662202,11167503,14654928,14654928
19,8,8,000,2525708,4429449,5000040,5640940,8694132,9061221,9061221,9061221,9061221
20,10,10,000,1585340,2412566,5139012,5928610,10703773,14732966,14732966,14732966,14732966
21,4,4,000,1955296,7901176,9776370,7512348,10416551,10416551,10416551,10416551,10416551
22,9,9,000,744464,919200,1698209,3783912,5928326,8798711,8798711,8798711,8798711
23,32,32,000,231876,538742,905166,2174178,4251632,4925441,5661745,7540721,7540721
24,21,21,000,760425,1436012,3320753,3420087,4144035,6388387,7376210,7843541,7843541
25,10,10,000,2372349,2399936,2527744,3637982,4066175,8932410,8932410,8932410,8932410
26,5,5,000,855051,1131383,1971076,2349278,2597156,5191724,5191724,5191724,5191724
27,13,13,000,221161,275368,397860,1747393,3605631,5018993,5808730,5808730,5808730
28,95,95,000,18937,239037,576781,1396366,1738429,4393337,4760813,14753087,14753087
29,71,71,000,116789,290286,1078617,1888477,2812316,3470061,5982051,19030428,19030428
30,25,25,000,116623,342037,882010,2093703,1989045,6844105,11800864,12479954,12479954
31,85,85,000,90124,199857,743186,1997397,1479381,9597399,10891930,14530456,14530456
32,90,90,000,107554,306413,555815,2561494,3631528,9504126,10082405,14516425,14516425
33,45,45,000,67246,756205,1640646,3750139,7803375,9215150,10035404,15970008,15970008
34,24,24,000,590939,2255152,2428715,4254239,7733604,8173637,8861475,11576166,11576166
35,17,17,000,995217,1459072,1817009,5129797,7103447,12454959,13256538,13256538,13256538
36,34,34,000,321172,5117890,5388260,5739021,6136573,11188086,12581280,13028141,13028141
37,6,6,000,4459011,4459236,4851735,5810438,5383053,10887460,10887460,10887460,10887460
38,6,6,000,3466190,3539777,3704801,3785946,3967703,4440626,4440626,4440626,4440626
39,3,3,000,2533773,2533773,3167378,5213251,9938604,9938604,9938604,9938604,9938604
40,3,3,000,1427432,1427432,3272283,4516302,8849191,8849191,8849191,8849191,8849191
41,30,30,000,25744,316506,429911,1012981,878256,3035038,3746420,6441123,6441123
42,109,109,000,64675,360676,646641,1790987,2061375,6006199,6694883,7672913,7808442
43,48,48,000,195010,1010523,2052008,2550357,3323508,5911336,6421129,7152834,7152834
44,24,24,000,111249,1498654,2487403,2654886,4528349,4751783,4888000,4940302,4940302
45,35,35,000,672968,1633561,2322237,2450205,2978055,3562872,4371203,4868746,4868746
46,10,10,000,465300,882591,1420115,1629423,2402815,3532357,3532357,3532357,3532357
47,49,49,000,86907,412322,1380755,1461344,1901890,2839908,3469249,8017763,8017763
48,79,79,000,74977,284673,511969,1327577,1651928,2767594,7353456,8191739,8191739
49,97,97,000,43188,315695,601496,1050790,1351157,1766008,3923442,7762670,7762670
50,129,129,000,95475,543953,1773914,2325484,3891353,5131559,5517797,7671424,9129125
51,12,12,000,235215,1236129,1906428,2714553,4405303,4513228,7232096,7232096,7232096
52,24,24,000,459383,875911,2895434,2730430,3461439,6030313,6479207,6613554,6613554
53,36,36,000,960061,2301216,2528032,2661080,2740137,3402573,6093014,6484062,6484062
54,6,6,000,1087860,1119214,1141054,1302558,1463880,1883234,1883234,1883234,1883234
55,66,66,000,74372,302538,565209,868612,1048978,1989376,2213347,4882553,4882553
56,109,109,000,116445,443618,1029229,1121493,1431953,1852551,2158031,4756633,4904560
57,100,100,000,160194,374526,576797,887689,1210036,1559172,3777051,4258609,4258609
58,107,107,000,144469,404848,678379,1025036,1358097,2142555,3548058,4410373,5232493
59,102,102,000,18913,336378,521245,802671,988578,1821065,2310085,3057632,3879142
60,114,114,000,102066,461566,696408,862643,1081377,1718867,2140388,3121480,3560081
61,126,126,000,93283,356105,755526,951891,1241357,1990202,2179988,4231029,4757993
62,98,98,000,83091,332131,879682,1166151,1467965,2604996,4337330,4559935,4559935
63,88,88,000,93502,402001,810764,1033368,1249341,2050901,3587539,4324866,4324866
64,101,101,000,88676,363274,627678,999573,1080304,1906868,4280181,4869554,4945570
65,97,97,000,86402,393926,782380,984368,1413864,1799999,2579698,4191176,4191176
66,87,87,000,122173,390895,717549,959410,1009108,2032827,3278696,4215276,4215276
67,119,119,000,33966,310979,588326,700800,816287,1573903,1738954,2367634,2964083
