Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1,200,62,537,55,892,60,734,61,863,65,728,69,918,69,918,69,918,69,918,0,016
5,2,200,51,979,40,150,45,888,48,761,53,239,64,215,77,416,77,416,77,416,0,019
10,3,000,50,532,37,552,43,962,51,015,54,776,61,582,64,050,64,050,64,050,0,020
15,4,200,47,553,30,844,46,823,49,396,51,023,52,214,52,585,53,362,53,362,0,021
20,1,800,48,991,36,022,46,916,49,075,52,258,60,552,60,552,60,552,60,552,0,020
25,2,000,49,247,34,432,48,974,49,979,54,031,56,605,56,605,56,605,56,605,0,020
30,2,400,49,851,38,772,46,823,50,324,52,502,58,425,62,101,62,101,62,101,0,020
35,2,600,46,032,23,212,44,623,48,241,51,397,52,917,54,362,54,362,54,362,0,022
40,1,600,52,498,47,116,49,702,51,015,55,799,63,726,63,726,63,726,63,726,0,019
45,3,000,51,504,33,533,49,692,51,890,54,316,59,477,62,801,62,801,62,801,0,019
50,3,200,48,295,25,933,45,378,47,699,56,401,57,216,64,535,64,535,64,535,0,021
55,2,200,47,500,27,050,41,156,46,203,52,979,57,016,65,553,65,553,65,553,0,021
