Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,23,400,28,823,9,647,23,838,28,239,33,580,37,626,45,686,53,199,57,547,0,035
5,28,400,22,515,9,347,17,991,21,373,26,019,29,024,31,070,37,715,117,415,0,044
10,27,000,22,642,8,164,18,336,21,682,26,321,31,015,33,681,41,134,43,844,0,044
15,27,200,21,543,8,938,17,706,21,181,24,830,28,490,31,013,35,111,35,188,0,046
20,33,000,21,740,8,342,17,943,21,465,25,930,29,102,30,945,36,276,37,596,0,046
25,31,200,21,864,8,033,18,585,21,495,25,436,28,789,31,464,33,898,35,559,0,046
30,29,200,21,465,8,094,17,488,20,670,24,481,28,746,31,846,35,620,41,643,0,047
35,28,800,22,027,7,615,18,003,21,814,25,924,29,657,32,349,35,612,36,743,0,045
40,31,800,21,999,8,996,17,518,22,612,26,563,29,228,30,214,34,879,37,360,0,045
45,26,200,22,066,10,310,17,565,21,015,24,773,27,900,29,511,39,609,99,045,0,045
50,27,200,22,298,8,677,18,830,21,905,25,707,28,189,30,592,33,668,35,699,0,045
55,31,800,21,284,10,232,17,008,20,948,24,899,27,563,29,917,36,968,38,050,0,047
