Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763837688,569085,59491,7,1
1,NewOrder,1763837688,569087,167079,4,1
1,NewOrder,1763837688,569089,162421,8,1
1,NewOrder,1763837688,569123,190990,3,1
1,NewOrder,1763837688,569149,163345,6,1
4,Delivery,1763837688,569217,32160,1,1
2,Payment,1763837688,569237,75992,5,1
2,Payment,1763837688,569834,92764,2,1
2,Payment,1763837688,570468,204757,0,1
1,NewOrder,1763837688,570869,167494,9,1
2,Payment,1763837688,601804,187164,1,1
1,NewOrder,1763837688,628663,111152,7,1
2,Payment,1763837688,645322,156752,5,1
2,Payment,1763837688,662678,151459,2,1
1,NewOrder,1763837688,731599,174842,8,1
2,Payment,1763837688,732575,96908,6,1
2,Payment,1763837688,736246,185163,4,1
2,Payment,1763837688,738445,199107,9,1
2,Payment,1763837688,739936,212114,7,1
1,NewOrder,1763837688,760346,107266,3,1
2,Payment,1763837688,775299,191805,0,1
1,NewOrder,1763837688,789068,113950,1,1
1,NewOrder,1763837688,802118,87883,5,1
1,NewOrder,1763837688,814195,78485,2,1
1,NewOrder,1763837688,829528,191861,6,1
2,Payment,1763837688,867668,202735,3,1
1,NewOrder,1763837688,890062,142636,5,1
2,Payment,1763837688,892736,191855,2,1
1,NewOrder,1763837688,903114,115374,1,1
2,Payment,1763837688,906491,191825,8,1
1,NewOrder,1763837688,921480,131878,4,1
2,Payment,1763837688,937599,176571,9,1
1,NewOrder,1763837688,952110,90875,7,1
1,NewOrder,1763837688,967157,281321,0,1
1,NewOrder,1763837689,018558,148576,1,1
2,Payment,1763837689,021438,238442,6,1
2,Payment,1763837689,032755,238286,5,1
1,NewOrder,1763837689,043043,121766,7,1
2,Payment,1763837689,053419,229996,4,1
3,OrderStatus,1763837689,070462,7999,3,1
2,Payment,1763837689,078522,216122,3,1
1,NewOrder,1763837689,084711,124905,2,1
4,Delivery,1763837689,098383,122068,8,1
1,NewOrder,1763837689,114384,209544,9,1
1,NewOrder,1763837689,164866,151842,7,1
2,Payment,1763837689,167205,185791,1,1
1,NewOrder,1763837689,209670,132468,2,1
2,Payment,1763837689,220519,147532,8,1
1,NewOrder,1763837689,248538,85804,0,1
2,Payment,1763837689,259953,119709,6,1
1,NewOrder,1763837689,271083,60066,5,1
2,Payment,1763837689,283472,107742,4,1
2,Payment,1763837689,294745,108510,3,1
2,Payment,1763837689,316762,99293,7,1
2,Payment,1763837689,323977,103457,9,1
1,NewOrder,1763837689,331207,121907,5,1
2,Payment,1763837689,334396,133564,0,1
1,NewOrder,1763837689,342194,113208,2,1
