Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3,000,5,628,3,675,4,563,5,475,6,791,7,225,7,999,7,999,7,999,0,178
5,5,400,5,724,3,404,3,781,4,795,5,936,12,299,12,679,14,661,14,661,0,175
10,3,200,6,369,2,951,3,768,5,093,7,690,13,397,19,834,19,834,19,834,0,157
15,4,000,4,587,2,831,3,252,3,859,5,133,6,952,16,462,16,462,16,462,0,218
20,3,800,4,680,3,051,3,583,4,188,5,120,8,721,9,120,9,120,9,120,0,214
25,4,600,4,096,2,598,3,319,3,564,4,185,6,492,6,710,8,064,8,064,0,244
30,4,000,4,653,3,183,3,740,4,340,5,084,6,889,7,750,7,750,7,750,0,215
35,3,600,5,175,2,996,3,596,4,307,5,320,8,059,16,550,16,550,16,550,0,193
40,4,200,4,258,2,829,3,426,3,912,4,801,6,056,6,087,7,147,7,147,0,235
45,4,000,4,143,2,894,3,376,4,207,4,756,5,525,5,780,5,780,5,780,0,241
50,3,800,4,562,3,198,3,315,3,950,4,825,7,006,10,911,10,911,10,911,0,219
55,3,400,4,841,3,353,3,949,4,225,5,339,6,806,9,831,9,831,9,831,0,207
