Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,44,400,123,492,59,491,101,935,114,755,135,886,175,266,191,825,229,996,238,442,0,008
5,44,000,118,791,70,089,98,015,113,993,134,336,156,539,175,318,225,287,235,997,0,008
10,43,800,124,352,47,587,101,374,119,535,141,034,168,780,199,894,228,135,244,888,0,008
15,47,400,109,950,58,844,92,083,109,990,128,401,139,360,149,094,158,736,187,863,0,009
20,49,400,109,436,53,086,90,776,106,470,121,118,145,166,157,037,216,015,247,472,0,009
25,48,800,104,001,52,904,91,933,101,803,115,594,130,620,139,378,160,621,175,013,0,010
30,45,200,107,591,41,380,94,929,103,990,117,113,141,597,155,361,180,810,183,332,0,009
35,47,600,114,974,65,404,93,523,115,108,128,861,157,650,166,666,183,525,196,060,0,009
40,50,600,107,469,61,059,91,906,107,001,119,364,134,696,143,640,184,909,198,556,0,009
45,48,600,109,254,57,010,91,423,105,198,120,231,134,682,155,307,246,724,259,073,0,009
50,38,400,132,993,49,825,94,843,109,787,128,990,211,047,345,270,510,264,567,097,0,008
55,46,800,118,495,57,650,102,944,114,743,133,913,150,736,167,981,186,261,191,971,0,008
