Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,2,800,7,450,3,291,4,366,5,821,6,962,9,726,31,370,31,370,31,370,0,134
5,4,400,8,115,3,927,4,684,5,944,9,173,15,277,18,502,26,476,26,476,0,123
10,4,800,6,773,3,036,4,285,5,446,7,771,12,243,14,925,16,307,16,307,0,148
15,5,000,7,779,3,168,4,488,5,320,7,313,20,187,22,269,25,538,25,538,0,129
20,4,200,6,482,2,510,3,599,4,905,6,547,13,097,13,324,19,975,19,975,0,154
25,5,000,7,110,2,641,3,818,4,478,5,770,10,364,19,477,49,298,49,298,0,141
30,5,400,8,109,2,934,4,198,5,175,7,088,23,745,25,198,28,870,28,870,0,123
35,4,200,6,747,3,152,4,304,4,624,6,690,9,957,15,371,24,219,24,219,0,148
40,4,600,7,563,2,921,4,067,4,908,6,108,13,238,24,210,34,921,34,921,0,132
45,4,800,7,453,2,986,4,310,4,866,9,441,14,713,18,365,27,065,27,065,0,134
50,1,600,5,101,3,128,4,607,4,847,6,360,7,306,7,306,7,306,7,306,0,196
55,2,600,6,701,3,024,3,922,4,845,6,209,14,326,19,616,19,616,19,616,0,149
