Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,76,76,000,6194,111152,147532,143532,185791,204757,229996,281321,281321
1,81,81,000,3291,92354,121828,116654,161525,174931,186956,210730,210730
2,104,104,000,4366,78365,105160,94569,120762,127134,138865,154736,156862
3,117,117,000,3932,65507,96469,87137,110435,119629,125934,137109,139211
4,103,103,000,3910,69902,100496,96099,122830,136807,158693,175266,183677
5,100,100,000,4297,80424,102903,100852,123488,149671,160961,341239,341239
6,124,124,000,3448,66714,83524,79446,104731,118541,125465,129415,182695
7,116,116,000,3404,67678,97738,88204,114145,133893,147515,159801,162821
8,91,91,000,3589,75326,112482,108025,151028,172364,204396,241198,241198
9,91,91,000,3927,80637,113013,112747,137714,171321,209567,235997,235997
10,104,104,000,3179,67085,103701,95136,128492,150021,160033,181696,206958
11,112,112,000,3036,68560,98440,90638,115997,132768,155292,181985,204192
12,120,120,000,2951,66546,91751,84042,107417,124388,130719,153299,155849
13,81,81,000,3977,88235,120445,125709,151922,208835,227739,244888,244888
14,83,83,000,4143,87400,123797,114172,144291,164309,173474,198944,198944
15,94,94,000,3515,78451,111503,104071,132938,151946,158588,168589,168589
16,118,118,000,3881,62973,89031,87177,115682,130400,139652,150386,155552
17,113,113,000,3024,72338,95033,89494,113772,130939,136508,148094,154394
18,127,127,000,2834,63841,80345,76605,99391,114058,122771,131554,133098
19,116,116,000,2831,69428,91502,87325,118406,135861,148297,164594,187863
20,113,113,000,3102,72133,88149,86205,106929,121337,156773,176538,190077
21,123,123,000,3051,61878,88176,85689,111126,132093,141299,152197,167902
22,113,113,000,3299,66494,87766,84786,109221,124322,135899,164355,173875
23,112,112,000,2510,75575,94091,90710,117186,131230,149162,152810,178697
24,93,93,000,4345,71821,104979,106690,133405,165788,219859,286993,286993
25,107,107,000,2824,73742,99539,94233,122363,141052,149793,167194,169577
26,116,116,000,2641,72814,93367,85743,108437,122250,134666,162182,170116
27,123,123,000,2598,64405,91396,81398,101931,114305,118691,128924,145530
28,128,128,000,3199,62150,78785,78884,102839,122981,127617,138808,148043
29,106,106,000,3971,70024,97618,92749,117598,131598,137212,159167,175013
30,110,110,000,4174,69922,97580,92709,112512,128881,157110,164835,173828
31,111,111,000,3902,74406,94495,89193,107577,122401,132106,143412,161856
32,127,127,000,2934,60915,78564,78277,100698,122279,139318,149115,155195
33,121,121,000,3183,64472,92777,82640,104583,112677,127931,151118,171134
34,107,107,000,3416,68193,97675,91569,119171,147148,162020,181196,183332
35,123,123,000,3503,64923,79139,82978,105155,128569,161609,184577,215616
36,114,114,000,2996,62047,89877,86252,116898,126525,135644,144613,152480
37,98,98,000,3374,81378,106035,101719,129817,159765,168771,183525,183525
38,95,95,000,3804,82383,119714,106009,137141,158160,173138,200126,200126
39,101,101,000,3252,78455,95480,97850,119376,139591,163694,191394,196060
40,108,108,000,3426,79260,100923,95072,114760,129600,136442,154493,161853
41,120,120,000,2921,71350,91470,82904,105706,112800,117501,132340,146608
42,122,122,000,2829,63107,87918,81964,108380,121568,131486,144246,150310
43,109,109,000,3801,53979,93904,91656,121315,151980,160309,198556,207836
44,117,117,000,3237,58201,90376,85804,120467,133568,137452,146495,150805
45,118,118,000,3186,64987,86906,85230,113119,128153,137435,145948,170425
46,110,110,000,3523,66275,96135,89828,118094,134604,138603,152405,155307
47,116,116,000,3122,67741,89219,85194,105586,127420,134010,146586,151236
48,106,106,000,2894,63671,92233,94127,111152,181633,237928,257217,259073
49,113,113,000,3161,74400,91423,87688,109639,123304,136846,168051,173230
50,110,110,000,3273,75934,96310,89574,109907,125973,138534,156227,161387
51,125,125,000,3128,63112,85017,82325,107110,126861,132431,163859,168111
52,115,115,000,3607,67209,88360,89406,108451,134289,157246,179461,222514
53,39,39,000,6852,177594,323804,292474,391032,456705,510264,567097,567097
54,56,56,000,4747,109905,136087,149310,211047,258928,281984,301582,301582
55,102,102,000,3395,80819,105669,98472,125895,139834,147659,164359,172313
56,116,116,000,3353,57650,90555,86331,125791,138664,141880,150736,151159
57,87,87,000,3902,83413,113973,114241,150797,179736,183311,193376,193376
58,103,103,000,3024,83194,103510,98262,117036,129983,149875,155972,168398
59,83,83,000,3797,81493,105192,102756,121219,159233,186261,230250,230250
