Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763850161,763102,67845,10,1
1,NewOrder,1763850161,763104,1827886,17,1
1,NewOrder,1763850161,763106,1956397,21,1
2,Payment,1763850161,763106,888275,15,1
2,Payment,1763850161,763120,58655,19,1
2,Payment,1763850161,763202,117272,16,1
1,NewOrder,1763850161,763232,1956643,9,1
1,NewOrder,1763850161,763237,886631,12,1
1,NewOrder,1763850161,763306,1885476,6,1
2,Payment,1763850161,763711,67495,8,1
1,NewOrder,1763850161,763718,514552,29,1
1,NewOrder,1763850161,763752,514040,27,1
2,Payment,1763850161,763825,885680,30,1
2,Payment,1763850161,763929,122279,31,1
1,NewOrder,1763850161,763967,163677,25,1
2,Payment,1763850161,764085,75959,0,1
2,Payment,1763850161,764367,1342982,33,1
2,Payment,1763850161,764521,114904,7,1
1,NewOrder,1763850161,764587,1951558,1,1
2,Payment,1763850161,764822,49807,22,1
1,NewOrder,1763850161,764907,886113,35,1
1,NewOrder,1763850161,764911,1952400,18,1
2,Payment,1763850161,768747,1873481,34,1
2,Payment,1763850161,772114,91450,20,1
4,Delivery,1763850161,772490,146616,36,1
2,Payment,1763850161,774217,1873978,37,1
2,Payment,1763850161,774270,2067193,39,1
2,Payment,1763850161,775136,1386916,38,1
1,NewOrder,1763850161,777107,1940214,40,1
2,Payment,1763850161,777156,61712,41,1
1,NewOrder,1763850161,777450,1278403,3,1
1,NewOrder,1763850161,777938,1938059,42,1
2,Payment,1763850161,778432,2191910,2,1
1,NewOrder,1763850161,778564,1937526,43,1
2,Payment,1763850161,781720,2236360,44,1
2,Payment,1763850161,782680,2220475,45,1
1,NewOrder,1763850161,782715,1932621,46,1
3,OrderStatus,1763850161,783205,32951,14,1
2,Payment,1763850161,783739,61588,47,1
1,NewOrder,1763850161,783977,1932217,48,1
2,Payment,1763850161,784629,127336,49,1
5,StockLevel,1763850161,785904,31197,4,1
2,Payment,1763850161,789480,2134223,5,1
1,NewOrder,1763850161,790795,860611,13,1
1,NewOrder,1763850161,792025,1856811,11,1
1,NewOrder,1763850161,792183,2214360,32,1
2,Payment,1763850161,793782,1551030,28,1
2,Payment,1763850161,794379,1854440,26,1
1,NewOrder,1763850161,794882,1922277,24,1
2,Payment,1763850161,797176,2172794,23,1
2,Payment,1763850161,816378,2024726,14,1
1,NewOrder,1763850161,817169,892814,4,1
2,Payment,1763850161,819504,2227719,22,1
2,Payment,1763850161,821854,2180853,19,1
3,OrderStatus,1763850161,831025,19783,10,1
2,Payment,1763850161,831252,2215752,8,1
1,NewOrder,1763850161,838944,2519153,41,1
1,NewOrder,1763850161,840114,2342708,0,1
2,Payment,1763850161,847251,2264666,47,1
2,Payment,1763850161,850854,2141175,10,1
1,NewOrder,1763850161,863644,2349068,20,1
1,NewOrder,1763850161,879500,2500897,7,1
2,Payment,1763850161,881109,2165658,16,1
2,Payment,1763850161,886726,2240577,31,1
2,Payment,1763850161,912035,2282413,49,1
1,NewOrder,1763850161,919186,2207146,36,1
2,Payment,1763850161,927717,1915090,25,1
2,Payment,1763850162,277875,1744277,27,1
3,OrderStatus,1763850162,278336,781450,29,1
2,Payment,1763850162,649600,1532537,30,1
1,NewOrder,1763850162,650033,1737054,12,1
1,NewOrder,1763850162,651087,1396615,35,1
2,Payment,1763850162,651429,1498978,15,1
2,Payment,1763850162,651468,1871376,13,1
2,Payment,1763850162,710058,1676962,4,1
2,Payment,1763850163,055939,1431229,3,1
2,Payment,1763850163,059884,1065868,29,1
2,Payment,1763850163,107470,1148725,33,1
1,NewOrder,1763850163,162165,998331,38,1
1,NewOrder,1763850163,344919,1130502,28,1
1,NewOrder,1763850163,591097,849583,17,1
2,Payment,1763850163,642324,744696,34,1
2,Payment,1763850163,648309,732034,37,1
3,OrderStatus,1763850163,648852,7713,6,1
1,NewOrder,1763850163,648899,760550,26,1
2,Payment,1763850163,648914,1001553,11,1
2,Payment,1763850163,656619,752676,6,1
1,NewOrder,1763850163,715416,753750,46,1
1,NewOrder,1763850163,716091,693230,42,1
2,Payment,1763850163,716167,770850,43,1
2,Payment,1763850163,716196,837306,1,1
1,NewOrder,1763850163,716237,672534,48,1
2,Payment,1763850163,717263,770547,24,1
1,NewOrder,1763850163,717378,692154,40,1
2,Payment,1763850163,717391,775786,18,1
2,Payment,1763850163,719843,734734,21,1
2,Payment,1763850163,719967,832677,9,1
5,StockLevel,1763850163,841175,285979,14,1
1,NewOrder,1763850163,841542,654378,39,1
1,NewOrder,1763850163,842861,577426,25,1
2,Payment,1763850163,923785,737842,5,1
1,NewOrder,1763850163,970070,382384,23,1
2,Payment,1763850163,970410,660295,2,1
3,OrderStatus,1763850163,992086,55843,10,1
1,NewOrder,1763850164,002780,406747,19,1
2,Payment,1763850164,003220,581887,45,1
2,Payment,1763850164,006649,498053,32,1
3,OrderStatus,1763850164,018172,53099,44,1
2,Payment,1763850164,022209,500655,27,1
2,Payment,1763850164,046839,506488,16,1
5,StockLevel,1763850164,047050,90883,8,1
2,Payment,1763850164,047294,559864,22,1
5,StockLevel,1763850164,047774,88052,35,1
2,Payment,1763850164,047947,782688,10,1
2,Payment,1763850164,071718,480928,44,1
1,NewOrder,1763850164,112069,284785,47,1
5,StockLevel,1763850164,125820,315913,29,1
2,Payment,1763850164,126375,427254,36,1
2,Payment,1763850164,127209,749817,14,1
2,Payment,1763850164,127343,467676,31,1
5,StockLevel,1763850164,135894,24603,35,1
2,Payment,1763850164,137995,633650,8,1
2,Payment,1763850164,150581,527292,15,1
2,Payment,1763850164,160573,632552,35,1
2,Payment,1763850164,160707,516426,38,1
2,Payment,1763850164,182205,467160,30,1
2,Payment,1763850164,182998,573159,0,1
3,OrderStatus,1763850164,195364,126763,49,1
2,Payment,1763850164,212790,523736,20,1
2,Payment,1763850164,256266,580480,33,1
1,NewOrder,1763850164,322183,452075,49,1
2,Payment,1763850164,352524,517737,23,1
1,NewOrder,1763850164,358163,496474,41,1
4,Delivery,1763850164,380406,440067,37,1
2,Payment,1763850164,380448,496403,7,1
2,Payment,1763850164,387091,489762,34,1
1,NewOrder,1763850164,387092,476008,4,1
2,Payment,1763850164,387130,597852,12,1
1,NewOrder,1763850164,388826,447680,48,1
1,NewOrder,1763850164,396920,422842,47,1
2,Payment,1763850164,409373,574721,6,1
2,Payment,1763850164,409487,153882,26,1
1,NewOrder,1763850164,409491,283416,42,1
1,NewOrder,1763850164,409558,471281,19,1
3,OrderStatus,1763850164,409576,59432,40,1
2,Payment,1763850164,420363,286790,25,1
3,OrderStatus,1763850164,440740,28041,17,1
2,Payment,1763850164,441804,395546,29,1
2,Payment,1763850164,454627,529294,21,1
1,NewOrder,1763850164,468873,401388,17,1
1,NewOrder,1763850164,469086,407753,40,1
1,NewOrder,1763850164,469209,286099,46,1
2,Payment,1763850164,475513,409333,28,1
5,StockLevel,1763850164,487205,334867,43,1
1,NewOrder,1763850164,487217,383182,3,1
2,Payment,1763850164,487875,756206,24,1
1,NewOrder,1763850164,493268,383570,18,1
1,NewOrder,1763850164,496010,374252,39,1
1,NewOrder,1763850164,504804,499132,32,1
2,Payment,1763850164,522972,737812,13,1
1,NewOrder,1763850164,522997,631272,27,1
1,NewOrder,1763850164,552786,980749,9,1
4,Delivery,1763850164,552799,877846,44,1
2,Payment,1763850164,553390,359162,16,1
2,Payment,1763850164,553559,345835,1,1
2,Payment,1763850164,553783,367989,36,1
2,Payment,1763850164,563463,793212,26,1
4,Delivery,1763850164,585249,227241,45,1
2,Payment,1763850164,595104,578128,31,1
2,Payment,1763850164,607237,765810,22,1
3,OrderStatus,1763850164,630806,125706,2,1
1,NewOrder,1763850164,649461,354374,30,1
5,StockLevel,1763850164,650546,235607,11,1
2,Payment,1763850164,661807,1096937,5,1
3,OrderStatus,1763850164,677212,79960,38,1
2,Payment,1763850164,677925,285376,15,1
2,Payment,1763850164,693237,254000,42,1
2,Payment,1763850164,707313,790037,25,1
1,NewOrder,1763850164,736649,885546,20,1
2,Payment,1763850164,755447,143933,46,1
2,Payment,1763850164,756233,670666,0,1
2,Payment,1763850164,756561,368523,2,1
1,NewOrder,1763850164,757235,119704,38,1
1,NewOrder,1763850164,771798,635997,8,1
3,OrderStatus,1763850164,774335,32983,49,1
2,Payment,1763850164,793221,245652,35,1
2,Payment,1763850164,807407,176588,49,1
1,NewOrder,1763850164,812564,600479,45,1
1,NewOrder,1763850164,819834,702208,47,1
2,Payment,1763850164,820521,334462,37,1
1,NewOrder,1763850164,822134,469664,43,1
1,NewOrder,1763850164,830868,680561,10,1
1,NewOrder,1763850164,836572,673543,48,1
2,Payment,1763850164,836790,442319,33,1
1,NewOrder,1763850164,837390,167011,29,1
2,Payment,1763850164,854728,1156284,41,1
2,Payment,1763850164,863165,700311,4,1
2,Payment,1763850164,870426,507493,39,1
1,NewOrder,1763850164,870426,795053,23,1
1,NewOrder,1763850164,870430,1161919,3,1
2,Payment,1763850164,870575,257755,17,1
2,Payment,1763850164,876911,467977,34,1
5,StockLevel,1763850164,876913,592011,18,1
1,NewOrder,1763850164,876914,936785,40,1
1,NewOrder,1763850164,876918,503089,7,1
4,Delivery,1763850164,876973,399778,38,1
2,Payment,1763850164,877067,844952,14,1
1,NewOrder,1763850164,880909,719936,19,1
1,NewOrder,1763850164,884918,965037,28,1
2,Payment,1763850164,886221,1029719,11,1
1,NewOrder,1763850164,899464,492851,46,1
2,Payment,1763850164,899464,1327912,1,1
1,NewOrder,1763850164,912630,900943,16,1
1,NewOrder,1763850164,921857,870630,36,1
1,NewOrder,1763850164,947291,1337336,42,1
1,NewOrder,1763850164,963365,467540,15,1
4,Delivery,1763850164,984015,370596,21,1
2,Payment,1763850164,984145,625477,49,1
1,NewOrder,1763850164,984194,1067315,6,1
1,NewOrder,1763850164,985049,616226,12,1
1,NewOrder,1763850165,004001,628244,30,1
1,NewOrder,1763850165,004522,830898,32,1
2,Payment,1763850165,007394,1096197,29,1
5,StockLevel,1763850165,038976,552137,35,1
