Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3,400,1101,391,24,603,235,607,411,453,592,011,4032,550,4228,186,4228,186,4228,186,0,001
5,2,400,618,524,179,479,348,962,489,763,630,811,905,004,2369,084,2369,084,2369,084,0,002
10,4,400,466,440,21,432,317,693,500,069,571,812,701,405,762,719,895,190,895,190,0,002
15,4,200,451,575,111,589,329,323,401,626,552,403,744,152,752,260,833,374,833,374,0,002
20,3,200,1400,159,212,309,447,013,500,327,2564,444,3885,093,3909,421,3909,421,3909,421,0,001
25,3,600,402,992,108,364,251,998,379,158,474,354,554,359,1435,777,1435,777,1435,777,0,002
30,5,800,382,986,7,598,240,415,406,976,482,276,793,351,815,639,882,944,882,944,0,003
35,4,200,330,275,32,993,229,619,341,725,434,991,553,547,650,418,650,941,650,941,0,003
40,2,800,979,269,273,878,493,384,809,928,1147,101,2457,891,2763,936,2763,936,2763,936,0,001
45,3,600,414,013,32,623,289,503,368,853,477,716,550,023,1440,162,1440,162,1440,162,0,002
50,4,000,698,547,40,055,252,066,411,998,1134,384,1883,873,1886,990,1886,990,1886,990,0,001
55,4,200,638,335,13,578,169,702,279,927,425,114,2352,842,2497,650,2554,152,2554,152,0,002
60,6,000,324,175,13,704,207,454,324,196,447,759,591,864,637,432,645,476,645,476,0,003
65,2,800,1739,226,34,291,397,284,1978,622,2935,192,3865,275,3923,520,3923,520,3923,520,0,001
70,6,000,354,989,17,242,230,528,326,465,448,721,790,408,811,175,987,664,987,664,0,003
75,3,800,324,360,99,983,206,494,348,075,413,470,514,742,517,299,517,299,517,299,0,003
80,2,400,1778,613,213,114,568,529,1848,060,3336,351,3348,211,3926,556,3926,556,3926,556,0,001
85,6,800,271,464,17,473,175,347,244,043,352,972,431,737,495,718,597,551,597,551,0,004
90,2,600,969,668,97,069,210,989,570,388,1604,638,2282,887,2310,566,2310,566,2310,566,0,001
95,6,600,284,189,21,776,186,366,270,091,346,128,481,076,711,635,746,034,746,034,0,004
100,5,600,248,443,13,889,152,496,244,391,310,296,385,613,459,094,970,865,970,865,0,004
105,5,800,328,586,9,992,196,983,273,199,388,941,632,768,645,432,1012,861,1012,861,0,003
110,3,600,501,063,19,094,140,884,364,996,507,989,1648,864,2124,191,2124,191,2124,191,0,002
115,3,800,365,721,203,260,278,698,351,894,421,741,495,668,879,485,879,485,879,485,0,003
