Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,68,200,1076,322,7,713,411,453,672,534,1532,537,2349,068,3698,799,4228,186,4632,352,0,001
5,41,600,759,953,25,363,362,688,543,656,833,222,1918,862,2369,084,3118,817,3784,581,0,001
10,98,600,473,775,21,432,318,956,428,851,585,049,766,665,887,701,1360,137,1511,369,0,002
15,124,200,422,589,11,680,268,398,374,154,530,971,773,450,898,609,1126,138,1438,793,0,002
20,81,000,750,361,31,286,281,030,433,126,776,854,2075,347,2474,262,3506,019,3909,421,0,001
25,104,800,355,608,7,397,224,113,324,738,445,860,566,685,675,244,1088,893,1435,777,0,003
30,128,800,380,978,6,541,249,876,360,103,478,951,611,357,705,644,931,656,1547,826,0,003
35,130,400,388,114,5,857,272,101,373,688,495,384,635,436,701,184,884,798,1013,960,0,003
40,68,600,907,462,20,095,280,523,517,060,1485,810,2281,669,2633,783,3214,160,3787,073,0,001
45,101,400,367,687,4,377,207,108,290,133,393,771,550,023,720,355,2071,292,2324,662,0,003
50,114,600,440,050,14,045,247,858,352,455,479,708,787,831,1214,359,1860,940,2233,709,0,002
55,100,000,494,939,12,790,201,864,281,321,453,654,1315,550,2374,885,2565,032,2886,436,0,002
60,149,400,333,859,4,631,217,335,312,830,432,160,541,553,617,825,929,634,1162,797,0,003
65,51,000,1012,186,6,576,369,695,626,822,1489,630,2508,040,2832,891,3802,559,3923,520,0,001
70,147,400,331,764,4,495,220,295,305,727,408,636,552,826,700,447,887,420,1054,160,0,003
75,136,600,367,259,13,953,241,739,341,953,455,205,612,471,696,649,913,392,1100,172,0,003
80,48,600,1024,046,8,436,331,944,520,102,1392,970,2694,832,3211,508,3806,793,4186,970,0,001
85,140,600,412,262,6,587,220,525,322,424,438,762,664,096,1271,789,2219,519,2361,204,0,002
90,44,200,943,134,43,802,362,441,557,753,1690,257,2310,566,2447,775,2740,892,2955,363,0,001
95,140,200,357,599,5,271,235,592,339,698,448,953,590,438,711,635,897,147,1029,907,0,003
100,154,400,344,703,13,571,233,146,313,366,415,118,537,813,729,316,1086,489,1379,202,0,003
105,124,800,437,241,4,136,226,602,321,698,451,671,864,239,1369,471,2044,625,3263,236,0,002
110,88,800,481,405,2,881,208,452,313,884,529,096,1152,912,1780,381,2100,143,2515,857,0,002
115,93,600,432,192,18,199,270,816,380,747,502,592,719,623,1111,286,1445,150,1635,931,0,002
