Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1763847376,828290,5085021,0,1
4,Delivery,1763847376,828376,6626789,36,1
1,NewOrder,1763847376,828379,1362868,16,1
5,StockLevel,1763847376,828388,375378,8,1
2,Payment,1763847376,828397,978484,14,1
2,Payment,1763847376,828419,776228,28,1
2,Payment,1763847376,828501,928922,38,1
1,NewOrder,1763847376,828577,4471991,26,1
2,Payment,1763847376,828584,1105723,2,1
1,NewOrder,1763847376,828643,1454031,11,1
1,NewOrder,1763847376,828644,5084849,1,1
2,Payment,1763847376,828664,1140833,18,1
1,NewOrder,1763847376,829516,1428698,39,1
1,NewOrder,1763847376,829558,1043968,4,1
1,NewOrder,1763847376,830137,5778427,12,1
2,Payment,1763847376,830212,826215,40,1
2,Payment,1763847376,830213,1016728,33,1
1,NewOrder,1763847376,830361,1626378,5,1
2,Payment,1763847376,830428,1069084,10,1
2,Payment,1763847376,830532,974766,6,1
2,Payment,1763847376,830576,860298,34,1
1,NewOrder,1763847376,830674,1400241,17,1
2,Payment,1763847376,830696,1094196,30,1
1,NewOrder,1763847376,830729,1963674,7,1
3,OrderStatus,1763847376,830752,174777,31,1
1,NewOrder,1763847376,830804,5547563,13,1
1,NewOrder,1763847376,831195,834490,3,1
1,NewOrder,1763847376,831204,5181356,9,1
2,Payment,1763847376,831243,977135,29,1
2,Payment,1763847376,831408,797387,27,1
1,NewOrder,1763847376,831423,5546556,25,1
2,Payment,1763847376,831533,1013710,24,1
2,Payment,1763847376,831875,975522,23,1
2,Payment,1763847376,831953,1014958,21,1
2,Payment,1763847376,831970,1012261,22,1
2,Payment,1763847376,832099,388026,20,1
2,Payment,1763847376,832359,335287,19,1
1,NewOrder,1763847376,833588,5617119,41,1
4,Delivery,1763847376,834121,7224954,37,1
1,NewOrder,1763847376,834844,4989787,35,1
2,Payment,1763847376,835010,972379,15,1
3,OrderStatus,1763847376,835107,172310,32,1
1,NewOrder,1763847376,835823,957536,42,1
1,NewOrder,1763847376,837982,993567,43,1
2,Payment,1763847376,838202,918585,44,1
5,StockLevel,1763847376,838511,862015,45,1
1,NewOrder,1763847376,838631,1531163,46,1
1,NewOrder,1763847376,838900,4819959,47,1
2,Payment,1763847376,839102,384957,49,1
2,Payment,1763847376,841444,964778,48,1
1,NewOrder,1763847376,841461,5170635,51,1
1,NewOrder,1763847376,842192,5128470,52,1
1,NewOrder,1763847376,842242,5213394,50,1
1,NewOrder,1763847376,842967,1203206,53,1
2,Payment,1763847376,843070,345414,55,1
2,Payment,1763847376,843645,1100435,54,1
2,Payment,1763847376,849948,515224,56,1
2,Payment,1763847376,849948,644135,57,1
5,StockLevel,1763847376,852049,1262602,58,1
2,Payment,1763847376,852186,747211,59,1
1,NewOrder,1763847376,852210,1898402,60,1
1,NewOrder,1763847376,852644,4505212,62,1
2,Payment,1763847376,852787,1008849,61,1
2,Payment,1763847376,852916,704464,63,1
3,OrderStatus,1763847376,853366,182392,64,1
1,NewOrder,1763847376,853630,2156830,65,1
2,Payment,1763847376,853901,951476,66,1
2,Payment,1763847376,853971,991010,67,1
1,NewOrder,1763847376,854292,4591808,68,1
1,NewOrder,1763847376,855837,3349578,70,1
2,Payment,1763847376,856246,950815,71,1
5,StockLevel,1763847376,856618,969028,69,1
1,NewOrder,1763847376,856660,1171742,72,1
2,Payment,1763847376,857822,975301,73,1
3,OrderStatus,1763847376,857914,146836,74,1
1,NewOrder,1763847376,857985,4442581,75,1
2,Payment,1763847376,858104,910229,76,1
2,Payment,1763847376,858122,1075350,77,1
1,NewOrder,1763847376,859053,1525657,78,1
2,Payment,1763847376,859121,909008,79,1
4,Delivery,1763847376,859152,6770598,80,1
2,Payment,1763847376,862160,895970,96,1
2,Payment,1763847376,862796,960997,94,1
2,Payment,1763847376,862909,941676,93,1
3,OrderStatus,1763847376,862964,135257,92,1
2,Payment,1763847376,863778,863464,91,1
2,Payment,1763847376,863877,959866,90,1
2,Payment,1763847376,864707,892656,89,1
2,Payment,1763847376,864987,692226,88,1
1,NewOrder,1763847376,865253,5613929,87,1
4,Delivery,1763847376,866152,5946212,85,1
1,NewOrder,1763847376,866512,5980710,86,1
3,OrderStatus,1763847376,866651,140208,84,1
2,Payment,1763847376,867360,924066,83,1
2,Payment,1763847376,867557,953650,82,1
1,NewOrder,1763847376,867805,5045916,81,1
2,Payment,1763847376,870540,799152,95,1
2,Payment,1763847376,870775,945096,98,1
1,NewOrder,1763847376,870870,4970408,97,1
1,NewOrder,1763847376,871451,1417808,99,1
2,Payment,1763847376,998441,758322,92,1
5,StockLevel,1763847377,004827,1245953,74,1
2,Payment,1763847377,005772,796932,31,1
2,Payment,1763847377,006925,724841,84,1
3,OrderStatus,1763847377,007483,156824,32,1
4,Delivery,1763847377,039172,7091574,64,1
2,Payment,1763847377,164356,638384,32,1
1,NewOrder,1763847377,167709,7532550,19,1
1,NewOrder,1763847377,188775,4087108,55,1
1,NewOrder,1763847377,203986,1084153,8,1
1,NewOrder,1763847377,220202,4254541,20,1
2,Payment,1763847377,224176,746380,49,1
1,NewOrder,1763847377,365254,5568692,56,1
1,NewOrder,1763847377,494361,7225735,57,1
1,NewOrder,1763847377,557275,5388815,88,1
1,NewOrder,1763847377,557438,6054797,63,1
1,NewOrder,1763847377,599464,3721180,59,1
1,NewOrder,1763847377,604715,3750937,28,1
1,NewOrder,1763847377,629398,6909426,27,1
2,Payment,1763847377,656514,371257,40,1
2,Payment,1763847377,665761,363306,3,1
2,Payment,1763847377,669777,316626,95,1
4,Delivery,1763847377,690945,7424900,34,1
5,StockLevel,1763847377,700597,3774279,45,1
1,NewOrder,1763847377,727310,3569686,91,1
2,Payment,1763847377,731817,317445,84,1
3,OrderStatus,1763847377,756814,691480,92,1
1,NewOrder,1763847377,756892,4229557,44,1
4,Delivery,1763847377,757420,8731776,89,1
3,OrderStatus,1763847377,757488,566804,38,1
1,NewOrder,1763847377,758181,3454444,96,1
4,Delivery,1763847377,768392,6869088,76,1
2,Payment,1763847377,768399,599388,79,1
2,Payment,1763847377,791502,496144,83,1
1,NewOrder,1763847377,793432,7514401,42,1
1,NewOrder,1763847377,802751,5055835,31,1
1,NewOrder,1763847377,802771,5105854,32,1
1,NewOrder,1763847377,804646,3815123,93,1
1,NewOrder,1763847377,805438,5076415,66,1
2,Payment,1763847377,805600,482245,6,1
1,NewOrder,1763847377,806279,3649789,48,1
1,NewOrder,1763847377,806926,4960275,14,1
1,NewOrder,1763847377,807146,4081246,71,1
3,OrderStatus,1763847377,807439,350305,15,1
1,NewOrder,1763847377,807452,6511526,23,1
2,Payment,1763847377,808438,543289,29,1
2,Payment,1763847377,815963,240006,98,1
3,OrderStatus,1763847377,821284,501342,82,1
2,Payment,1763847377,823855,367853,90,1
1,NewOrder,1763847377,823861,4311234,94,1
2,Payment,1763847377,825710,709890,69,1
2,Payment,1763847377,831621,681990,43,1
1,NewOrder,1763847377,833193,5145038,73,1
2,Payment,1763847377,844332,329245,22,1
2,Payment,1763847377,845099,523371,67,1
1,NewOrder,1763847377,845331,6060576,24,1
2,Payment,1763847377,846972,664609,21,1
1,NewOrder,1763847377,846989,5035100,33,1
4,Delivery,1763847377,861707,7368390,61,1
1,NewOrder,1763847377,873861,19679358,4,1
1,NewOrder,1763847377,899712,4179475,10,1
