Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,20,200,797,641,240,006,523,371,746,380,959,866,1069,084,1140,833,2358,063,2408,632,0,001
5,23,600,635,788,137,953,320,179,450,918,569,497,1028,169,3432,222,3631,055,3652,338,0,002
10,11,800,787,237,104,235,305,255,416,028,915,857,2789,307,3046,678,3206,747,3206,747,0,001
15,29,200,385,026,90,204,258,754,348,753,493,602,631,515,700,138,899,242,906,537,0,003
20,26,000,998,650,119,715,353,057,519,868,721,983,3741,456,4077,252,4359,351,4360,161,0,001
25,16,200,702,313,160,663,441,092,554,313,781,483,982,546,2305,935,2863,055,2863,055,0,001
30,21,200,975,856,173,272,399,655,705,155,1679,061,1992,881,2046,871,2383,347,2517,128,0,001
35,10,800,1550,184,495,294,1036,184,1436,048,1993,581,2511,902,2915,688,3195,333,3195,333,0,001
40,31,000,672,474,142,082,364,751,454,871,637,411,2118,671,2306,432,2555,853,2588,641,0,001
45,9,800,1302,890,124,826,753,534,1106,962,1972,534,2412,226,2614,349,2832,182,2832,182,0,001
50,33,200,491,631,156,160,352,962,474,907,617,270,766,667,840,707,1032,352,1043,040,0,002
55,36,800,441,566,141,717,332,948,422,999,519,493,638,225,813,049,938,666,946,081,0,002
60,28,800,534,306,137,272,402,312,507,620,623,950,832,253,921,244,1070,653,1111,198,0,002
65,25,000,1232,136,238,338,582,304,694,879,942,622,3184,013,4619,363,6116,563,6342,779,0,001
70,4,000,3051,566,1309,066,2170,971,2680,639,4508,466,4943,069,5781,286,5781,286,5781,286,0,000
75,34,600,646,645,203,260,458,976,573,398,718,156,1079,543,1288,433,1600,741,1701,360,0,002
80,35,000,765,124,177,686,416,274,605,027,872,824,1333,593,2093,256,2869,644,4130,034,0,001
85,9,600,2143,092,272,416,1019,977,2197,583,3161,261,3859,946,3999,663,4879,924,4879,924,0,000
90,39,200,549,627,130,946,358,843,484,079,672,552,995,369,1171,342,1261,053,1262,529,0,002
95,37,400,553,201,181,323,372,113,482,564,613,038,738,485,996,873,2453,192,3773,958,0,002
100,18,000,799,712,172,724,370,977,491,548,744,718,1940,769,2738,765,3209,174,3209,174,0,001
105,13,200,2028,990,193,144,757,580,1345,327,3061,987,4990,429,5571,730,6346,763,6346,763,0,000
110,31,600,508,335,148,262,358,812,496,965,599,604,766,703,872,628,1290,281,1389,069,0,002
115,33,400,562,569,218,133,371,835,487,559,689,067,926,364,1141,700,1615,726,1685,897,0,002
120,24,600,730,220,142,251,353,586,485,122,642,110,1949,691,2744,233,3166,695,3202,149,0,001
125,10,400,1412,620,330,793,611,515,1366,193,2052,210,2642,424,2985,201,3056,924,3056,924,0,001
130,41,200,455,435,148,336,334,150,428,729,539,652,672,620,747,870,982,597,1135,251,0,002
135,41,400,529,960,180,715,402,105,496,756,638,542,753,590,851,805,1133,383,1250,436,0,002
140,40,200,449,751,159,824,333,161,415,619,515,231,690,153,801,781,979,126,1084,073,0,002
145,45,000,553,559,137,293,343,088,438,540,616,835,811,997,1325,862,2158,114,2343,001,0,002
150,17,200,1386,032,181,195,366,790,540,578,2117,982,4117,244,4740,969,5004,598,5004,598,0,001
155,24,600,570,069,128,219,350,971,488,287,665,515,859,059,1069,314,2041,231,2063,954,0,002
160,37,000,499,389,165,111,341,555,440,996,604,702,770,080,1005,272,1297,559,1308,164,0,002
165,25,200,723,340,181,283,392,729,525,058,784,304,1618,163,2055,900,2944,533,3003,589,0,001
170,24,400,786,563,203,098,376,068,511,929,856,920,1724,356,1914,381,4157,121,4637,805,0,001
175,3,800,2951,929,376,694,2460,304,3524,278,3735,987,3935,629,3960,909,3960,909,3960,909,0,000
