Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,151,151,000,135257,796932,1043968,2424298,4505212,5778427,6909426,7532550,8731776
1,59,59,000,329245,664609,4133521,3807371,5145038,7011237,7415740,19679358,19679358
2,7,7,000,2256649,2317133,2358063,3888363,5807831,6418703,6418703,6418703,6418703
3,1,1,000,2486034,2486034,2486034,2486034,2486034,2486034,2486034,2486034,2486034
4,25,25,000,127662,619046,706132,1804967,2334468,4998865,5157417,11979564,11979564
5,58,58,000,175880,527839,2047827,2338331,3118293,5013325,7945586,9539244,9539244
6,48,48,000,137953,549993,1896107,2949024,3070775,8731553,10552641,11849738,11849738
7,46,46,000,132338,331106,535246,2286053,2436628,7797751,9733357,12078861,12078861
8,71,71,000,102983,426456,647898,2201619,4973022,6853979,7640030,8983984,8983984
9,53,53,000,174123,1073041,4101903,4269710,6218792,8377862,9305474,11934619,11934619
10,17,17,000,1442383,3046678,3633632,4104492,4901266,7264692,7416826,7416826,7416826
11,4,4,000,1784898,1796473,2083784,1940508,2096879,2096879,2096879,2096879,2096879
12,1,1,000,559516,559516,559516,559516,559516,559516,559516,559516,559516
13,58,58,000,104235,368485,1080150,2386287,3800955,7536897,8021289,9727966,9727966
14,48,48,000,137477,355356,782307,1540655,2331902,4056603,4346243,6433832,6433832
15,52,52,000,128731,310935,456227,1463581,2745985,4081115,5339722,6983839,6983839
16,58,58,000,90204,342351,855658,1586812,1742134,4661774,5359582,6331579,6331579
17,56,56,000,179552,435397,789686,1574586,2581107,4092567,5666537,5780798,5780798
18,71,71,000,102955,355024,574493,1444019,2164430,3333243,5292150,9714784,9714784
19,63,63,000,131981,265126,775790,1514243,1767614,3837012,4671816,10395011,10395011
20,55,55,000,220556,353057,652301,1558961,1622706,3034448,8798016,9924866,9924866
21,69,69,000,154676,499049,1047629,1346978,1862054,2596646,3512770,6501003,6501003
22,61,61,000,250776,565860,1018579,2181479,2318127,6072237,6930295,10794232,10794232
23,89,89,000,119715,524000,1290898,2555088,4922908,5463814,5713052,10519758,10519758
24,33,33,000,1509664,3979897,4428719,4767956,5193306,6003741,6329326,12248033,12248033
25,11,11,000,2305935,2441992,2863055,3414253,4655353,4687140,4787216,4787216,4787216
26,0,0,000,-1,-1,-1,-1,-1,-1,-1,-1,-1
27,2,2,000,317668,317668,2467202,1392435,2467202,2467202,2467202,2467202,2467202
28,77,77,000,171320,551601,889440,1628473,1835377,3390516,5036215,11511194,11511194
29,76,76,000,160663,488668,813682,1732113,1804671,4044210,9749321,10903901,10903901
30,100,100,000,205723,403366,1283226,2320613,2902375,5700645,10858241,13192136,13192136
31,32,32,000,1057501,1855002,2625311,3635544,5102649,8133906,9864303,10134470,10134470
32,17,17,000,773162,1128937,1710328,3515968,5475769,7811092,9374699,9374699,9374699
33,53,53,000,204232,708446,2317696,2790420,3748007,7731166,8870027,8954017,8954017
