Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763838379,113555,130974,3,1
1,NewOrder,1763838379,113558,288646,1,1
2,Payment,1763838379,113622,87514,9,1
1,NewOrder,1763838379,113646,279683,2,1
2,Payment,1763838379,114438,285240,8,1
3,OrderStatus,1763838379,114608,45697,0,1
2,Payment,1763838379,114663,202644,5,1
2,Payment,1763838379,114744,244520,4,1
1,NewOrder,1763838379,114957,187647,6,1
1,NewOrder,1763838379,161195,449761,0,1
1,NewOrder,1763838379,201210,365077,9,1
1,NewOrder,1763838379,244612,430683,3,1
2,Payment,1763838379,302688,414238,6,1
2,Payment,1763838379,317396,440497,5,1
2,Payment,1763838379,341563,454676,7,1
1,NewOrder,1763838379,359339,164466,4,1
2,Payment,1763838379,393452,437255,2,1
1,NewOrder,1763838379,399765,582167,8,1
4,Delivery,1763838379,402286,82731,1,1
2,Payment,1763838379,485097,749151,1,1
1,NewOrder,1763838379,523868,565476,4,1
1,NewOrder,1763838379,566350,410249,9,1
1,NewOrder,1763838379,611015,490629,0,1
1,NewOrder,1763838379,675348,331822,3,1
3,OrderStatus,1763838379,716982,25939,6,1
1,NewOrder,1763838379,742974,257020,6,1
1,NewOrder,1763838379,757951,294482,5,1
1,NewOrder,1763838379,796295,402680,7,1
1,NewOrder,1763838379,831286,562330,2,1
1,NewOrder,1763838379,976655,460662,9,1
2,Payment,1763838379,981999,491571,8,1
2,Payment,1763838380,000046,513430,6,1
2,Payment,1763838380,007415,539946,3,1
1,NewOrder,1763838380,052505,334544,5,1
2,Payment,1763838380,089389,496330,4,1
1,NewOrder,1763838380,101686,288337,0,1
2,Payment,1763838380,199035,427467,7,1
2,Payment,1763838380,234321,436381,1,1
4,Delivery,1763838380,387130,299943,5,1
4,Delivery,1763838380,390075,42957,0,1
1,NewOrder,1763838380,393679,490058,2,1
2,Payment,1763838380,433125,507469,0,1
1,NewOrder,1763838380,437374,379724,9,1
5,StockLevel,1763838380,473650,17183,8,1
3,OrderStatus,1763838380,490890,17706,8,1
2,Payment,1763838380,508652,464635,8,1
1,NewOrder,1763838380,513561,306486,6,1
1,NewOrder,1763838380,547416,358921,3,1
1,NewOrder,1763838380,585778,280556,4,1
1,NewOrder,1763838380,626558,184952,7,1
1,NewOrder,1763838380,670770,507881,1,1
2,Payment,1763838380,687198,535392,5,1
2,Payment,1763838380,811709,442454,7,1
1,NewOrder,1763838380,817201,333537,9,1
1,NewOrder,1763838380,820141,371716,6,1
1,NewOrder,1763838380,866387,269490,4,1
2,Payment,1763838380,883787,404992,2,1
1,NewOrder,1763838380,906402,168450,3,1
2,Payment,1763838380,940683,384328,0,1
1,NewOrder,1763838380,973345,529003,8,1
1,NewOrder,1763838381,074920,547558,3,1
2,Payment,1763838381,135930,531654,4,1
4,Delivery,1763838381,150793,290789,9,1
2,Payment,1763838381,178702,539786,1,1
2,Payment,1763838381,191913,566599,6,1
4,Delivery,1763838381,222661,396266,5,1
4,Delivery,1763838381,254232,626771,7,1
1,NewOrder,1763838381,288838,327451,2,1
1,NewOrder,1763838381,325070,650994,0,1
3,OrderStatus,1763838381,441647,20534,9,1
2,Payment,1763838381,462237,546007,9,1
1,NewOrder,1763838381,502399,384698,8,1
2,Payment,1763838381,616332,430339,2,1
2,Payment,1763838381,618990,458799,5,1
3,OrderStatus,1763838381,622534,19504,3,1
2,Payment,1763838381,642136,467726,3,1
2,Payment,1763838381,667672,471232,4,1
2,Payment,1763838381,718569,451774,1,1
1,NewOrder,1763838381,758561,558017,6,1
2,Payment,1763838381,881054,495610,7,1
1,NewOrder,1763838381,887172,459010,8,1
1,NewOrder,1763838381,976161,292497,0,1
3,OrderStatus,1763838382,008313,22192,9,1
2,Payment,1763838382,030578,381101,9,1
2,Payment,1763838382,046733,395889,2,1
1,NewOrder,1763838382,077833,226025,5,1
2,Payment,1763838382,109918,367827,3,1
