Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,1,400,290,680,42,957,82,731,295,303,396,266,626,771,626,771,626,771,626,771,0,003
5,0,600,116,758,35,259,35,259,38,665,276,350,276,350,276,350,276,350,276,350,0,009
10,1,400,198,052,59,180,81,117,141,791,274,713,449,193,449,193,449,193,449,193,0,005
15,1,000,267,870,244,486,255,356,266,707,283,794,289,008,289,008,289,008,289,008,0,004
20,0,800,200,105,111,772,210,476,233,125,245,045,245,045,245,045,245,045,245,045,0,005
25,1,400,214,934,38,306,67,287,220,490,294,069,469,117,469,117,469,117,469,117,0,005
30,0,600,312,749,236,744,236,744,305,353,396,151,396,151,396,151,396,151,396,151,0,003
35,0,800,213,075,87,147,153,474,278,779,332,900,332,900,332,900,332,900,332,900,0,005
40,1,000,80,746,32,600,60,672,61,264,109,151,140,045,140,045,140,045,140,045,0,012
45,1,400,186,548,92,544,128,117,159,492,257,283,276,934,276,934,276,934,276,934,0,005
50,1,000,156,398,57,153,68,138,194,636,222,000,240,065,240,065,240,065,240,065,0,006
55,0,800,179,378,62,836,92,717,262,396,299,564,299,564,299,564,299,564,299,564,0,006
