Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,11,800,395,097,164,466,292,497,378,044,494,750,574,802,650,994,705,930,705,930,0,003
5,11,800,341,535,171,834,267,569,332,358,419,233,445,557,515,296,683,205,683,205,0,003
10,10,800,342,860,135,465,256,886,326,638,429,082,500,710,510,300,623,235,623,235,0,003
15,12,800,340,682,118,429,255,728,333,026,425,320,496,308,520,461,533,037,533,037,0,003
20,15,200,364,514,173,160,284,505,331,317,428,648,553,091,594,380,727,381,727,381,0,003
25,12,200,364,422,149,660,255,357,322,334,437,884,575,203,688,705,911,571,911,571,0,003
30,14,000,331,542,119,132,251,461,332,543,396,016,459,208,544,566,603,651,603,651,0,003
35,10,400,388,338,166,120,279,507,367,120,442,111,601,774,679,263,844,701,844,701,0,003
40,13,400,331,841,150,668,246,098,305,207,392,327,501,827,558,213,596,046,596,046,0,003
45,12,400,329,498,130,126,261,096,335,899,403,375,458,230,483,697,559,475,559,475,0,003
50,12,800,360,423,168,984,256,387,338,286,437,627,573,180,654,589,697,634,697,634,0,003
55,12,800,327,070,129,649,250,003,308,669,406,480,482,662,526,388,622,531,622,531,0,003
