Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,36,36,000,25939,257020,402680,355242,490629,562330,582167,749151,749151
1,25,25,000,17183,280556,379724,348369,464635,529003,535392,547558,547558
2,26,26,000,19504,327451,451774,399195,531654,566599,626771,650994,650994
3,29,29,000,11966,272729,378044,334267,481688,529936,553857,569490,569490
4,22,22,000,20634,356677,388559,432975,503092,669385,705930,715689,715689
5,31,31,000,16237,334099,363936,338109,417423,423788,435878,478392,478392
6,30,30,000,19355,290052,375262,354987,444851,466278,493977,501784,501784
7,29,29,000,16546,251734,348457,329815,404683,453109,471444,515296,515296
8,32,32,000,13850,337578,383255,343866,442843,471066,503964,512615,512615
9,25,25,000,16607,286422,444448,384505,494577,572495,603961,683205,683205
10,24,24,000,18093,302463,402983,346250,445952,487903,490323,510300,510300
11,31,31,000,17037,177930,376310,339181,505617,532312,548593,553477,553477
12,31,31,000,11468,264852,374401,325029,428673,454880,479286,500710,500710
13,32,32,000,19235,286687,398026,355617,429082,460261,565022,594150,594150
14,28,28,000,12741,300418,421148,353203,505584,521983,589111,623235,623235
15,34,34,000,13531,219391,311983,271477,382468,428361,484422,520461,520461
16,30,30,000,20898,283794,375291,341888,409989,449367,471532,483487,483487
17,29,29,000,13102,336224,384793,362859,483658,537594,550905,575615,575615
18,28,28,000,15705,273660,425320,354125,461810,508557,509517,513481,513481
19,25,25,000,94495,306750,416848,393957,490649,531775,539521,591714,591714
20,28,28,000,13052,233861,317038,342824,529772,553036,590625,655599,655599
21,31,31,000,12138,276128,351571,319299,394264,528150,557981,594380,594380
22,31,31,000,12387,235326,318832,310147,424777,475676,490051,591742,591742
23,31,31,000,187308,299901,354211,373756,451328,528319,560022,682241,682241
24,25,25,000,19920,264092,339801,346276,447531,486713,558885,727381,727381
25,29,29,000,14680,273437,354959,352991,464331,504859,543254,562948,562948
26,32,32,000,13765,220490,336198,299530,417782,436159,462017,475177,475177
27,37,37,000,14234,191939,298755,277490,351296,437332,450607,460851,460851
28,20,20,000,13335,469117,789877,638507,875886,883251,912866,912866,912866
29,13,13,000,23727,425240,548404,523824,609499,773874,911571,911571,911571
30,31,31,000,22219,298012,359196,337136,384731,414091,433784,464221,464221
31,35,35,000,11835,235166,304793,278096,353649,396151,423317,426483,426483
32,33,33,000,12838,239084,322473,305147,375735,449184,466729,545633,545633
33,28,28,000,17380,314084,409447,391092,491455,544566,582531,603651,603651
34,24,24,000,14074,363175,396016,370030,443452,446363,447328,463621,463621
35,29,29,000,14688,295649,372523,338302,405540,425054,425571,429709,429709
36,29,29,000,10461,265732,371503,433249,614119,844701,907783,913476,913476
37,17,17,000,13428,474356,570055,528348,679263,796562,811309,811309,811309
38,24,24,000,11711,319453,429477,411178,541553,582682,597830,665193,665193
39,30,30,000,14872,231927,358045,312831,419930,452692,469024,482141,482141
40,28,28,000,13874,315869,366348,337215,436267,453092,453897,569605,569605
41,35,35,000,12000,225851,348673,295413,380497,405971,479458,501827,501827
42,30,30,000,15999,297540,343952,323488,406410,460478,477552,549526,549526
43,38,38,000,10170,236107,300356,283172,363016,477646,532642,537117,537117
44,26,26,000,17431,304583,402828,378073,456566,558213,581917,596046,596046
45,27,27,000,92544,250414,364673,334868,436509,473521,482126,483697,483697
46,31,31,000,47587,280292,331977,338890,415784,459423,511846,600219,600219
47,29,29,000,128117,307478,361395,345964,385962,436133,458230,481734,481734
48,30,30,000,14827,261096,384157,331858,437278,457256,464605,475078,475078
49,31,31,000,15270,293636,392427,334554,421578,429497,511608,559475,559475
50,32,32,000,13416,240684,362937,302776,404226,418426,478413,498231,498231
51,33,33,000,18835,236649,338286,303775,391651,423971,466510,516826,516826
52,29,29,000,14217,256387,352460,327400,400242,460192,464269,470078,470078
53,28,28,000,12111,299030,437475,413387,554195,660150,688915,697634,697634
54,26,26,000,14659,296966,379570,347549,441436,542727,579048,599525,599525
55,32,32,000,13208,253799,308669,290810,382956,452953,463847,482662,482662
56,23,23,000,12214,336221,453926,441126,560088,673509,684314,716122,716122
57,37,37,000,10843,181413,322813,271379,363466,387498,406480,447045,447045
58,33,33,000,14417,262396,362769,339803,456428,479858,507036,526388,526388
59,15,15,000,11615,200405,333601,314746,467024,504901,561942,561942,561942
