Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,0,600,161,400,119,937,119,937,164,612,199,651,199,651,199,651,199,651,199,651,0,006
5,1,000,154,402,55,593,76,551,159,742,215,473,264,651,264,651,264,651,264,651,0,006
10,1,800,229,004,77,061,179,356,237,414,263,047,385,326,385,326,385,326,385,326,0,004
15,1,200,213,585,41,373,224,129,247,340,252,084,285,755,285,755,285,755,285,755,0,005
20,1,600,161,081,27,405,104,325,180,874,258,866,270,983,270,983,270,983,270,983,0,006
25,1,400,171,568,67,989,125,015,185,593,214,075,242,238,242,238,242,238,242,238,0,006
30,0,600,162,575,76,627,76,627,178,300,232,797,232,797,232,797,232,797,232,797,0,006
35,1,200,170,426,72,117,86,447,225,087,248,518,259,491,259,491,259,491,259,491,0,006
40,1,200,137,064,47,593,70,207,105,623,226,976,268,126,268,126,268,126,268,126,0,007
45,0,800,90,312,34,403,59,081,74,358,193,405,193,405,193,405,193,405,193,405,0,011
50,1,200,152,154,36,616,75,182,188,588,241,172,255,196,255,196,255,196,255,196,0,007
55,1,600,119,858,28,580,29,683,125,622,226,946,314,912,314,912,314,912,314,912,0,008
