Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1763849236,382466,317481,8,1
2,Payment,1763849236,382467,281737,21,1
2,Payment,1763849236,382467,743427,35,1
1,NewOrder,1763849236,382467,1038780,37,1
2,Payment,1763849236,382467,581125,40,1
1,NewOrder,1763849236,382467,709401,23,1
1,NewOrder,1763849236,382467,732034,34,1
1,NewOrder,1763849236,382468,690062,19,1
1,NewOrder,1763849236,382495,543775,27,1
3,OrderStatus,1763849236,382510,173675,48,1
2,Payment,1763849236,382556,582221,31,1
2,Payment,1763849236,382715,734957,28,1
2,Payment,1763849236,382739,581295,26,1
2,Payment,1763849236,382916,317274,15,1
2,Payment,1763849236,382938,317251,32,1
2,Payment,1763849236,382970,314211,29,1
1,NewOrder,1763849236,383051,992758,0,1
4,Delivery,1763849236,383069,426618,10,1
1,NewOrder,1763849236,383125,611505,18,1
1,NewOrder,1763849236,383352,1037917,1,1
2,Payment,1763849236,383614,577780,11,1
1,NewOrder,1763849236,383706,629739,22,1
1,NewOrder,1763849236,384195,607276,14,1
2,Payment,1763849236,384457,287789,2,1
1,NewOrder,1763849236,384713,633156,4,1
2,Payment,1763849236,384914,566305,20,1
2,Payment,1763849236,385070,539141,36,1
1,NewOrder,1763849236,385143,779723,24,1
1,NewOrder,1763849236,385174,1017696,3,1
2,Payment,1763849236,385263,311024,13,1
1,NewOrder,1763849236,385418,700129,9,1
2,Payment,1763849236,387032,718277,49,1
2,Payment,1763849236,387263,930748,47,1
2,Payment,1763849236,387325,1097845,46,1
2,Payment,1763849236,387398,354277,45,1
5,StockLevel,1763849236,387548,262820,44,1
5,StockLevel,1763849236,387579,284697,43,1
2,Payment,1763849236,387868,311994,42,1
1,NewOrder,1763849236,387917,1065557,6,1
1,NewOrder,1763849236,389032,910026,41,1
1,NewOrder,1763849236,389782,1022715,33,1
2,Payment,1763849236,390522,274233,39,1
1,NewOrder,1763849236,391153,1019404,7,1
1,NewOrder,1763849236,391433,928468,5,1
3,OrderStatus,1763849236,391535,180986,17,1
1,NewOrder,1763849236,391820,616885,38,1
2,Payment,1763849236,392512,593581,16,1
1,NewOrder,1763849236,392692,959327,25,1
3,OrderStatus,1763849236,393399,171507,12,1
1,NewOrder,1763849236,394531,871324,30,1
2,Payment,1763849236,560454,1042734,48,1
1,NewOrder,1763849236,564973,974856,12,1
1,NewOrder,1763849236,573346,880133,17,1
2,Payment,1763849236,650446,528476,44,1
2,Payment,1763849236,664280,484441,21,1
2,Payment,1763849236,664808,712307,39,1
2,Payment,1763849236,672317,159258,2,1
1,NewOrder,1763849236,672339,913140,43,1
2,Payment,1763849236,696374,959604,13,1
5,StockLevel,1763849236,697236,59017,29,1
2,Payment,1763849236,699932,978539,42,1
1,NewOrder,1763849236,700025,711506,8,1
2,Payment,1763849236,700254,836248,15,1
2,Payment,1763849236,700384,502079,32,1
1,NewOrder,1763849236,741751,1366559,45,1
1,NewOrder,1763849236,756305,900602,29,1
1,NewOrder,1763849236,809758,602732,10,1
1,NewOrder,1763849236,831793,806294,2,1
2,Payment,1763849236,924269,581272,36,1
3,OrderStatus,1763849236,926343,90999,27,1
5,StockLevel,1763849236,951294,519133,20,1
4,Delivery,1763849236,961462,547960,11,1
5,StockLevel,1763849236,963867,460335,40,1
1,NewOrder,1763849236,964068,800477,26,1
2,Payment,1763849236,964827,349074,31,1
2,Payment,1763849236,986152,669609,16,1
1,NewOrder,1763849236,991551,1689554,14,1
1,NewOrder,1763849236,994708,1074345,18,1
2,Payment,1763849237,008779,600455,38,1
2,Payment,1763849237,013517,301141,22,1
1,NewOrder,1763849237,017456,596168,27,1
2,Payment,1763849237,017933,756956,4,1
2,Payment,1763849237,072600,1831837,19,1
2,Payment,1763849237,085705,445422,9,1
1,NewOrder,1763849237,091961,765869,23,1
2,Payment,1763849237,105389,1255428,49,1
1,NewOrder,1763849237,114596,589347,34,1
1,NewOrder,1763849237,117738,438330,28,1
1,NewOrder,1763849237,125978,759907,35,1
2,Payment,1763849237,148931,847129,21,1
2,Payment,1763849237,164938,1186341,24,1
2,Payment,1763849237,178981,828513,44,1
2,Payment,1763849237,202531,576933,32,1
2,Payment,1763849237,265932,741599,30,1
1,NewOrder,1763849237,299143,1364952,41,1
2,Payment,1763849237,313961,972613,31,1
1,NewOrder,1763849237,314698,1592550,22,1
