Time (seconds),Throughput (requests/second),Average Latency (millisecond),Minimum Latency (millisecond),25th Percentile Latency (millisecond),Median Latency (millisecond),75th Percentile Latency (millisecond),90th Percentile Latency (millisecond),95th Percentile Latency (millisecond),99th Percentile Latency (millisecond),Maximum Latency (millisecond),tp (req/s) scaled
0,3,200,750,333,59,017,314,979,592,483,800,960,2018,965,2366,837,2366,837,2366,837,0,001
5,0,200,437,667,437,667,437,667,437,667,437,667,437,667,437,667,437,667,437,667,0,002
10,1,800,735,772,180,726,690,566,854,505,920,390,959,885,959,885,959,885,959,885,0,001
15,1,400,470,713,54,090,330,404,577,692,629,910,639,352,639,352,639,352,639,352,0,002
20,1,000,1199,485,90,118,340,013,1163,204,1194,953,3209,139,3209,139,3209,139,3209,139,0,001
25,2,200,559,068,263,496,440,456,484,284,681,471,874,385,1109,498,1109,498,1109,498,0,002
30,3,000,607,016,147,197,460,749,591,999,725,674,898,852,1351,940,1351,940,1351,940,0,002
35,2,800,1009,452,140,722,339,306,749,341,833,473,1145,605,6058,304,6058,304,6058,304,0,001
40,0,800,4402,273,175,670,5503,704,5930,603,5999,116,5999,116,5999,116,5999,116,5999,116,0,000
45,1,600,1125,020,329,988,450,399,727,662,2052,289,2536,993,2536,993,2536,993,2536,993,0,001
50,1,400,1063,761,177,775,402,214,571,885,2269,598,2643,425,2643,425,2643,425,2643,425,0,001
55,2,400,746,392,262,860,501,022,618,318,755,169,1562,107,2074,814,2074,814,2074,814,0,001
60,3,000,387,187,39,823,293,513,336,437,438,172,696,973,717,725,717,725,717,725,0,003
65,3,800,697,177,219,434,409,978,535,386,733,049,1971,412,1974,900,1974,900,1974,900,0,001
70,0,800,1009,884,210,640,461,752,611,276,2755,867,2755,867,2755,867,2755,867,2755,867,0,001
75,3,200,529,007,32,507,312,084,468,950,719,751,945,933,1669,113,1669,113,1669,113,0,002
80,3,000,426,397,105,370,266,531,377,360,556,406,684,411,970,852,970,852,970,852,0,002
85,1,800,1284,869,20,436,321,683,496,224,514,104,7527,606,7527,606,7527,606,7527,606,0,001
90,0,000,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-0,001,-1000,000
95,3,000,540,990,176,115,274,790,619,931,733,877,772,043,804,088,804,088,804,088,0,002
100,1,000,479,568,244,074,349,633,356,803,702,935,744,393,744,393,744,393,744,393,0,002
105,3,600,560,907,52,025,265,218,705,466,812,278,922,645,1066,476,1066,476,1066,476,0,002
110,2,600,418,297,96,199,299,563,327,439,400,670,512,165,1580,047,1580,047,1580,047,0,002
115,1,200,810,661,20,908,315,518,489,000,571,772,3117,920,3117,920,3117,920,3117,920,0,001
