Time (seconds),Requests,Throughput (requests/second),Minimum Latency (microseconds),25th Percentile Latency (microseconds),Median Latency (microseconds),Average Latency (microseconds),75th Percentile Latency (microseconds),90th Percentile Latency (microseconds),95th Percentile Latency (microseconds),99th Percentile Latency (microseconds),Maximum Latency (microseconds)
0,102,102,000,59017,460335,633156,687402,910026,1042734,1255428,1689554,1831837
1,58,58,000,81681,754414,939721,998312,1293099,1595406,1750951,1980971,1980971
2,54,54,000,56360,704712,939551,1574829,2616452,2907292,3122987,3157959,3157959
3,29,29,000,81653,1881689,2085283,1949001,2285409,2404660,2487246,3252339,3252339
4,2,2,000,898794,898794,1115706,1007250,1115706,1115706,1115706,1115706,1115706
5,60,60,000,104256,1449093,2383520,2006168,2760398,2956258,3016371,3272832,3272832
6,10,10,000,520254,1780796,2117880,1920009,2269683,2541325,2541325,2541325,2541325
7,18,18,000,270860,718053,1104549,997719,1157655,1483648,1767347,1767347,1767347
8,55,55,000,86651,556355,695368,699228,886358,1015518,1036179,1254022,1254022
9,76,76,000,48238,537905,744177,789945,1054050,1319343,1506541,1647360,1647360
10,51,51,000,172325,782226,1007819,1037804,1301418,1472420,1681200,1862452,1862452
11,43,43,000,75179,896569,1217951,1222512,1606133,1776004,1977008,2225335,2225335
12,41,41,000,79547,935368,1174051,1128683,1355329,1508473,1552008,1696433,1696433
13,57,57,000,66586,571923,731818,809888,926252,1516153,1874241,2055912,2055912
14,65,65,000,53891,647100,844016,900391,1091616,1301663,2043051,2525435,2525435
15,49,49,000,101682,642357,987580,949640,1245452,1426704,1434060,1809905,1809905
16,45,45,000,116076,856694,1090326,1069757,1321331,1423556,1627133,1781340,1781340
17,45,45,000,54090,930739,1169460,1155393,1395303,1556435,1939040,2028296,2028296
18,45,45,000,330404,850492,1178735,1211660,1454179,1932086,2028309,3280053,3280053
19,47,47,000,103451,811952,1252038,1871117,2861606,4160331,4273219,4894645,4894645
20,31,31,000,767067,2889293,3510282,3099222,3887114,4062747,4134105,4264837,4264837
21,9,9,000,773801,2907352,3209139,2934574,3363955,3823327,3823327,3823327,3823327
22,7,7,000,1454458,1754466,2280750,2249272,2582035,3135410,3135410,3135410,3135410
23,14,14,000,90118,634633,681463,721343,828110,1213572,1284266,1284266,1284266
24,74,74,000,73707,429663,629961,618397,762494,907820,1163204,1213882,1213882
25,66,66,000,83744,487429,849490,764514,993963,1173566,1246089,1359187,1359187
26,69,69,000,106653,635172,839813,860332,1113393,1266115,1393014,1584482,1584482
27,56,56,000,263496,614576,795856,814853,955795,1182771,1414021,2275904,2275904
28,70,70,000,46100,484284,748830,812511,1113476,1504770,1723422,2081792,2081792
29,40,40,000,189025,834390,1051632,1026887,1260201,1544058,1676882,1683481,1683481
30,77,77,000,42228,521149,652827,674186,844756,1087514,1215473,1240877,1240877
31,61,61,000,60070,598182,835648,771894,955311,1011152,1177770,1377519,1377519
32,69,69,000,134989,497072,691244,700944,840463,1088174,1174167,1489951,1489951
33,62,62,000,53101,685607,957703,889945,1110788,1310496,1340004,1404309,1404309
34,68,68,000,110048,502252,671176,646067,797449,898852,923375,1213513,1213513
35,75,75,000,69356,463108,640176,646778,825957,918557,1060327,1145605,1145605
36,80,80,000,41629,507014,660080,690569,851816,1105316,1126997,1407466,1407466
37,66,66,000,42555,422515,700883,661954,901890,1131930,1146612,1432379,1432379
38,98,98,000,39085,437191,609572,1008696,1076186,2288022,5250089,5364072,5364072
39,32,32,000,753238,1471623,4121983,3395026,5416839,6058304,6428313,6574340,6574340
