Id,metric_alias_w_I2XA5WclURxLyFoHuFdWd_5_0,metric_alias_w_I2XA5WclURxLyFoHuFdWd_5_1
StatusCode,Complete,Complete
Messages,,
Full label,us-east-1:AWS/EC2 InstanceId:i-01479d7360522665e NetworkIn Average 300 (Bytes),us-east-1:AWS/EC2 InstanceId:i-0125c77cb7bd8eef2 NetworkIn Average 300 (Bytes)
Label,i-01479d7360522665e (mysql-server),i-0125c77cb7bd8eef2 (sysbench-client)
2026/01/13 10:50:00,156,16885.2
2026/01/13 10:55:00,1604.6,7057.4
2026/01/13 11:00:00,496,11592.4
2026/01/13 11:05:00,105.6,6335.6
2026/01/13 11:10:00,36,13914.4
2026/01/13 11:15:00,72,10521.2
2026/01/13 11:20:00,758,19628
2026/01/13 11:25:00,91437531.8,1032338269.4
2026/01/13 11:30:00,30100691.6,305816833.2
2026/01/13 11:35:00,67408360,485270391.6
2026/01/13 11:40:00,26378399.4,520461769
2026/01/13 11:45:00,20587648.2,536887915.8
2026/01/13 11:50:00,94,82988733.8
2026/01/13 11:55:00,1573.4,8162510.6
2026/01/13 12:00:00,36,46209050
2026/01/13 12:05:00,36,4907008.8
2026/01/13 12:10:00,66,43.2
2026/01/13 12:15:00,36,659.6
2026/01/13 12:20:00,2402.2,1635.8
2026/01/13 12:25:00,138,19749.8
2026/01/13 12:30:00,18,8540
2026/01/13 12:35:00,96,185735039.2
2026/01/13 12:40:00,54,316442078.6
2026/01/13 12:45:00,54,138341467.8
2026/01/13 12:50:00,1560.2,11387839.8
2026/01/13 12:55:00,18,9573451.2
2026/01/13 13:00:00,62.4,5882794.8
2026/01/13 13:05:00,31.2,7652090.2
2026/01/13 13:10:00,36,5343798.8
2026/01/13 13:15:00,1637.4,16190317.8
2026/01/13 13:20:00,18,11175925.6
2026/01/13 13:25:00,43.2,100.8
2026/01/13 13:30:00,18,188.4
2026/01/13 13:35:00,48,36
2026/01/13 13:40:00,1506.2,54
2026/01/13 13:45:00,87.6,1650.2
2026/01/13 13:50:00,36,152.4
2026/01/13 13:55:00,42,54
2026/01/13 14:00:00,18,78
2026/01/13 14:05:00,18,157.2
2026/01/13 14:10:00,1604.6,60
2026/01/13 14:15:00,161.2,3207.8
2026/01/13 14:20:00,2384.8,85649363.4
2026/01/13 14:25:00,95.2,325028994.8
2026/01/13 14:30:00,18,242975735
2026/01/13 14:35:00,1547,9693933.4
2026/01/13 14:40:00,36,11489855.2
2026/01/13 14:45:00,36,5322138.4
2026/01/13 14:50:00,496,7853916.8
2026/01/13 14:55:00,18,4706994
2026/01/13 15:00:00,1547,13940649
2026/01/13 15:05:00,74.4,17245690.8
2026/01/13 15:10:00,31.2,1609.4
2026/01/13 15:15:00,48,108
2026/01/13 15:20:00,31.2,18
2026/01/13 15:25:00,30,36
2026/01/13 15:30:00,1568.6,170
2026/01/13 15:35:00,48,1512.2
2026/01/13 15:40:00,3453.6,1295.8
2026/01/13 15:45:00,5722.4,5103.2
2026/01/13 15:50:00,36,9772.8
2026/01/13 15:55:00,18,7037.6
2026/01/13 16:00:00,1639.4,1163.6
2026/01/13 16:05:00,36,2098.6
2026/01/13 16:10:00,64,99.6
2026/01/13 16:15:00,36,54
2026/01/13 16:20:00,12,8672.8
2026/01/13 16:25:00,1561,50114209.2
2026/01/13 16:30:00,168.4,273426307.2
2026/01/13 16:35:00,18,231643270.8
2026/01/13 16:40:00,13.2,8308928.2
2026/01/13 16:45:00,16066320.4,10972366.6
2026/01/13 16:50:00,10632.4,5392976
2026/01/13 16:55:00,8807.6,30928732.8
2026/01/13 17:00:00,7900.8,4996595.2
2026/01/13 17:05:00,7860,7454649.8
2026/01/13 17:10:00,7807.2,8740963
2026/01/13 17:15:00,7846.8,697949.2
2026/01/13 17:20:00,7890,15426800.8
2026/01/13 17:25:00,10992.8,26244480
2026/01/13 17:30:00,15642807.8,323191296.6
2026/01/13 17:35:00,47905760.6,1024455559
2026/01/13 17:40:00,57093663,60957977.6
2026/01/13 17:45:00,40710649.2,39565527.4
2026/01/13 17:50:00,11031.2,18436
2026/01/13 17:55:00,73506928,821104849
2026/01/13 18:00:00,34180112.8,33902710.8
2026/01/13 18:05:00,32374937.8,51298934.2
2026/01/13 18:10:00,101898660.4,170212.8
2026/01/13 18:15:00,353049067,738749993.8
2026/01/13 18:20:00,16968907.4,25310046.2
2026/01/13 18:25:00,10778032.4,16144445.8
2026/01/13 18:30:00,42714178.6,1029484936.8
2026/01/13 18:35:00,196941197.2,4934032348.6
2026/01/13 18:40:00,159664950.4,3915166364.6
2026/01/13 18:45:00,253732414,183886058.4
2026/01/13 18:50:00,322016829.8,230674141.4
2026/01/13 18:55:00,111342886.6,105204588.4
2026/01/13 19:00:00,113004242.8,149160447.6
2026/01/13 19:05:00,69817582.4,90043361.6
2026/01/13 19:10:00,375386352.8,325602652.2
2026/01/13 19:15:00,385704381.6,329939213.2
2026/01/13 19:20:00,7237307.4,2256253.4
2026/01/13 19:25:00,7807.2,8099.6
2026/01/13 19:30:00,7842,7790.4
2026/01/13 19:35:00,7921.2,11875
2026/01/13 19:40:00,55908101.6,426422904.8
2026/01/13 19:45:00,148833124.8,3742633638.8
2026/01/13 19:50:00,134967013.6,3329896080
2026/01/13 19:55:00,68149987.2,69485576.2
2026/01/13 20:00:00,96989534,98897335.2
2026/01/13 20:05:00,40694910,50372581
2026/01/13 20:10:00,36140344.8,69617424
2026/01/13 20:15:00,25779900.4,48732308.8
2026/01/13 20:20:00,62173908.4,68512779.8
2026/01/13 20:25:00,303778414.8,272332863
2026/01/13 20:30:00,46071484.2,34887467.8
2026/01/13 20:35:00,11011.6,21639.6
2026/01/13 20:40:00,452438998,1133878585.2
2026/01/13 20:45:00,121885209.2,3055086661.2
2026/01/13 20:50:00,79432598.8,1953479803.8
2026/01/13 20:55:00,47801974.8,47129134.6
2026/01/13 21:00:00,49000308.8,48522130.4
2026/01/13 21:05:00,11931831.6,19361482.4
2026/01/13 21:10:00,16499706.2,30768390.4
2026/01/13 21:15:00,10024818.4,17391911.4
2026/01/13 21:20:00,16979331.6,24037739.6
2026/01/13 21:25:00,15790397.6,22017284.2
2026/01/13 21:30:00,7885.2,7868.4
2026/01/13 21:35:00,10958,7892.4
2026/01/13 21:40:00,7860,12747
2026/01/13 21:45:00,7833.6,7894.8
2026/01/13 21:50:00,7842,11107.8
2026/01/13 21:55:00,7843.2,7794
2026/01/13 22:00:00,10925.6,7891.2
2026/01/13 22:05:00,691305,7856.4
2026/01/13 22:10:00,8007.2,6297.6
2026/01/13 22:15:00,7872,11020.2
2026/01/13 22:20:00,7820.4,7909.6
2026/01/13 22:25:00,10846.4,7941.6
2026/01/13 22:30:00,7984.8,7843.2
2026/01/13 22:35:00,7819.2,7882.8
2026/01/13 22:40:00,7842,10967.4
2026/01/13 22:45:00,7864.8,7950
