Id,metric_alias_w_I2XA5WclURxLyFoHuFdWd_6_0,metric_alias_w_I2XA5WclURxLyFoHuFdWd_6_1
StatusCode,Complete,Complete
Messages,,
Full label,us-east-1:AWS/EC2 InstanceId:i-01479d7360522665e NetworkOut Average 300 (Bytes),us-east-1:AWS/EC2 InstanceId:i-0125c77cb7bd8eef2 NetworkOut Average 300 (Bytes)
Label,i-01479d7360522665e (mysql-server),i-0125c77cb7bd8eef2 (sysbench-client)
2026/01/13 10:50:00,131,14561.2
2026/01/13 10:55:00,1201.8,7266
2026/01/13 11:00:00,514,10634.8
2026/01/13 11:05:00,92.4,5833.2
2026/01/13 11:10:00,36,10675.2
2026/01/13 11:15:00,72,8621.6
2026/01/13 11:20:00,889.6,19050.4
2026/01/13 11:25:00,1032336379.4,91439602
2026/01/13 11:30:00,317157882.6,29506853.6
2026/01/13 11:35:00,473928585,68003653.2
2026/01/13 11:40:00,540866088,25587565.8
2026/01/13 11:45:00,516463792.2,21398015.4
2026/01/13 11:50:00,156,8041841.8
2026/01/13 11:55:00,1183.8,7036912.8
2026/01/13 12:00:00,36,3869929.8
2026/01/13 12:05:00,36,3288201.8
2026/01/13 12:10:00,123.6,31.2
2026/01/13 12:15:00,36,514.4
2026/01/13 12:20:00,1933.2,1232.8
2026/01/13 12:25:00,124.8,126125.4
2026/01/13 12:30:00,18,112531.4
2026/01/13 12:35:00,214.8,11647477.8
2026/01/13 12:40:00,54,13020682
2026/01/13 12:45:00,99.2,8266610.8
2026/01/13 12:50:00,1183.8,15703541.6
2026/01/13 12:55:00,18,13283796.4
2026/01/13 13:00:00,194.4,4417592.8
2026/01/13 13:05:00,97.2,5749086.6
2026/01/13 13:10:00,36,4529304.4
2026/01/13 13:15:00,1335,18092835.2
2026/01/13 13:20:00,18,12599648.8
2026/01/13 13:25:00,140.4,237.6
2026/01/13 13:30:00,44.4,373.2
2026/01/13 13:35:00,105.6,36
2026/01/13 13:40:00,1200.6,54
2026/01/13 13:45:00,145.2,1266
2026/01/13 13:50:00,36,139.2
2026/01/13 13:55:00,29.6,54
2026/01/13 14:00:00,18,135.2
2026/01/13 14:05:00,18,223.2
2026/01/13 14:10:00,1201.8,47.6
2026/01/13 14:15:00,100.2,2745.6
2026/01/13 14:20:00,3327.8,7595742.8
2026/01/13 14:25:00,169.2,13374039.2
2026/01/13 14:30:00,18,9940015.2
2026/01/13 14:35:00,1183.8,13377026.4
2026/01/13 14:40:00,36,15934372
2026/01/13 14:45:00,36,5290743.6
2026/01/13 14:50:00,770.8,6040815.2
2026/01/13 14:55:00,18,3595420.4
2026/01/13 15:00:00,1157.4,14927972.8
2026/01/13 15:05:00,132,19617349.2
2026/01/13 15:10:00,97.2,1140.4
2026/01/13 15:15:00,105.6,108
2026/01/13 15:20:00,97.2,18
2026/01/13 15:25:00,87.6,36
2026/01/13 15:30:00,1179,191.6
2026/01/13 15:35:00,82.4,1096
2026/01/13 15:40:00,4496.8,1129
2026/01/13 15:45:00,7753.2,6905.4
2026/01/13 15:50:00,76,14366.4
2026/01/13 15:55:00,18,10200.8
2026/01/13 16:00:00,1307.4,1587.2
2026/01/13 16:05:00,23.2,1708.4
2026/01/13 16:10:00,220.6,143.6
2026/01/13 16:15:00,36,54
2026/01/13 16:20:00,69.6,7144.8
2026/01/13 16:25:00,1259.4,42553395.4
2026/01/13 16:30:00,269.8,11238381.2
2026/01/13 16:35:00,18,9512212.8
2026/01/13 16:40:00,79.2,11371375.2
2026/01/13 16:45:00,81008.2,15031598
2026/01/13 16:50:00,8422,5786686
2026/01/13 16:55:00,7000.8,5707454.2
2026/01/13 17:00:00,6646.2,3746517.6
2026/01/13 17:05:00,6478.6,5914370.4
2026/01/13 17:10:00,6454,7476286.4
2026/01/13 17:15:00,6482,604580.2
2026/01/13 17:20:00,6522.4,84712.4
2026/01/13 17:25:00,8808,84047.6
2026/01/13 17:30:00,268389752.8,17847583.2
2026/01/13 17:35:00,1079223433.8,45728379.6
2026/01/13 17:40:00,60955897,57094029.6
2026/01/13 17:45:00,39559962.2,40714300
2026/01/13 17:50:00,8850.8,15217
2026/01/13 17:55:00,821091423.8,73523519.4
2026/01/13 18:00:00,32911565.6,34686069.4
2026/01/13 18:05:00,52277097.6,31882629.6
2026/01/13 18:10:00,105135.4,117587919.4
2026/01/13 18:15:00,736521868,339467067.4
2026/01/13 18:20:00,27422250.2,15074998
2026/01/13 18:25:00,16137059.8,10785574.6
2026/01/13 18:30:00,967393709.8,45286982.4
2026/01/13 18:35:00,4921338459.6,197441816.6
2026/01/13 18:40:00,3989933665.4,156602042.4
2026/01/13 18:45:00,181345534.4,257273659
2026/01/13 18:50:00,230209948.2,322631760.4
2026/01/13 18:55:00,106349117.4,108595425.8
2026/01/13 19:00:00,149056557,113078474
2026/01/13 19:05:00,92003827.6,68327271
2026/01/13 19:10:00,321459433.4,380231865.4
2026/01/13 19:15:00,330143955,385460798.6
2026/01/13 19:20:00,6185888,2638332.2
2026/01/13 19:25:00,6468.2,7571.8
2026/01/13 19:30:00,6454.6,6959.8
2026/01/13 19:35:00,6503.2,9937.4
2026/01/13 19:40:00,386342713.4,57512382.4
2026/01/13 19:45:00,3729632669.2,149367729
2026/01/13 19:50:00,3382926576.8,132888283.2
2026/01/13 19:55:00,68099985.6,69493936.2
2026/01/13 20:00:00,99054406.6,96843352.4
2026/01/13 20:05:00,50618735.6,39998521.2
2026/01/13 20:10:00,69709912.8,36105793.6
2026/01/13 20:15:00,49615850,25319887.2
2026/01/13 20:20:00,66819016.6,63934268.4
2026/01/13 20:25:00,269489283.4,307324893.4
2026/01/13 20:30:00,39410509,40781654.4
2026/01/13 20:35:00,8885,31821.4
2026/01/13 20:40:00,1098391893.2,453855522.4
2026/01/13 20:45:00,3053830657.6,121935179
2026/01/13 20:50:00,1990215585.4,77967526
2026/01/13 20:55:00,46502238.6,48437747.6
2026/01/13 21:00:00,48390250.4,49113992.8
2026/01/13 21:05:00,19636311.2,11435395.8
2026/01/13 21:10:00,30746830,16508278.8
2026/01/13 21:15:00,17594698,9969579
2026/01/13 21:20:00,24013247.2,16996496.2
2026/01/13 21:25:00,22325661.6,15569404.4
2026/01/13 21:30:00,6513.8,7001
2026/01/13 21:35:00,8777.2,6954.8
2026/01/13 21:40:00,6454.6,13542.8
2026/01/13 21:45:00,6449.4,7000.8
2026/01/13 21:50:00,6451.2,9200.4
2026/01/13 21:55:00,6464.4,6959.2
2026/01/13 22:00:00,8869,7042.6
2026/01/13 22:05:00,9793.4,6955.2
2026/01/13 22:10:00,6591.8,5611.4
2026/01/13 22:15:00,6563.4,9095
2026/01/13 22:20:00,6447,8111
2026/01/13 22:25:00,8647,6960.6
2026/01/13 22:30:00,6679.4,6939
2026/01/13 22:35:00,6537.6,6988
2026/01/13 22:40:00,6503.8,9142
2026/01/13 22:45:00,6462.8,7025.2
