Id,metric_alias_metrics_view_graph_0,metric_alias_metrics_view_graph_1,metric_alias_metrics_view_graph_2,metric_alias_metrics_view_graph_3,metric_alias_metrics_view_graph_4,metric_alias_metrics_view_graph_5,metric_alias_metrics_view_graph_6,metric_alias_metrics_view_graph_7,metric_alias_metrics_view_graph_8,metric_alias_metrics_view_graph_9,metric_alias_metrics_view_graph_10,metric_alias_metrics_view_graph_11,metric_alias_metrics_view_graph_12,metric_alias_metrics_view_graph_13,metric_alias_metrics_view_graph_14,metric_alias_metrics_view_graph_15,metric_alias_metrics_view_graph_16,metric_alias_metrics_view_graph_17,metric_alias_metrics_view_graph_18,metric_alias_metrics_view_graph_19,metric_alias_metrics_view_graph_20,metric_alias_metrics_view_graph_21,metric_alias_metrics_view_graph_22,metric_alias_metrics_view_graph_23
StatusCode,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete,Complete
Messages,,,,,,,,,,,,,,,,,,,,,,,,
Full label,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-01479d7360522665e path:/sys/fs/cgroup disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-01479d7360522665e path:/dev/shm disk_used_percent Average 60,us-east-1:CWAgent device:nvme0n1p1 fstype:xfs InstanceId:i-01479d7360522665e path:/ disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-01479d7360522665e path:/run/user/1000 disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-01479d7360522665e path:/run disk_used_percent Average 60,us-east-1:CWAgent device:devtmpfs fstype:devtmpfs InstanceId:i-01479d7360522665e path:/dev disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-01479d7360522665e path:/run/user/0 disk_used_percent Average 60,us-east-1:CWAgent device:loop3 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/lxd/31335 disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-0125c77cb7bd8eef2 path:/run/lock disk_used_percent Average 60,us-east-1:CWAgent device:loop7 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/lxd/36930 disk_used_percent Average 60,us-east-1:CWAgent device:loop6 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/amazon-ssm-agent/12323 disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-0125c77cb7bd8eef2 path:/run/user/1000 disk_used_percent Average 60,us-east-1:CWAgent device:efivarfs fstype:efivarfs InstanceId:i-0125c77cb7bd8eef2 path:/sys/firmware/efi/efivars disk_used_percent Average 60,us-east-1:CWAgent device:loop2 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/core22/2049 disk_used_percent Average 60,us-east-1:CWAgent device:loop4 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/snapd/24787 disk_used_percent Average 60,us-east-1:CWAgent device:nvme0n1p1 fstype:ext4 InstanceId:i-0125c77cb7bd8eef2 path:/ disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-0125c77cb7bd8eef2 path:/dev/shm disk_used_percent Average 60,us-east-1:CWAgent device:loop0 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/amazon-ssm-agent/11798 disk_used_percent Average 60,us-east-1:CWAgent device:loop5 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/snapd/25939 disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-0125c77cb7bd8eef2 path:/run/snapd/ns disk_used_percent Average 60,us-east-1:CWAgent device:tmpfs fstype:tmpfs InstanceId:i-0125c77cb7bd8eef2 path:/run disk_used_percent Average 60,us-east-1:CWAgent device:nvme0n1p15 fstype:vfat InstanceId:i-0125c77cb7bd8eef2 path:/boot/efi disk_used_percent Average 60,us-east-1:CWAgent device:devtmpfs fstype:devtmpfs InstanceId:i-0125c77cb7bd8eef2 path:/dev disk_used_percent Average 60,us-east-1:CWAgent device:loop1 fstype:squashfs InstanceId:i-0125c77cb7bd8eef2 path:/snap/core20/2603 disk_used_percent Average 60
Label,tmpfs tmpfs i-01479d7360522665e (mysql-server) /sys/fs/cgroup,tmpfs tmpfs i-01479d7360522665e (mysql-server) /dev/shm,nvme0n1p1 xfs i-01479d7360522665e (mysql-server) /,tmpfs tmpfs i-01479d7360522665e (mysql-server) /run/user/1000,tmpfs tmpfs i-01479d7360522665e (mysql-server) /run,devtmpfs devtmpfs i-01479d7360522665e (mysql-server) /dev,tmpfs tmpfs i-01479d7360522665e (mysql-server) /run/user/0,loop3 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/lxd/31335,tmpfs tmpfs i-0125c77cb7bd8eef2 (sysbench-client) /run/lock,loop7 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/lxd/36930,loop6 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/amazon-ssm-agent/12323,tmpfs tmpfs i-0125c77cb7bd8eef2 (sysbench-client) /run/user/1000,efivarfs efivarfs i-0125c77cb7bd8eef2 (sysbench-client) /sys/firmware/efi/efivars,loop2 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/core22/2049,loop4 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/snapd/24787,nvme0n1p1 ext4 i-0125c77cb7bd8eef2 (sysbench-client) /,tmpfs tmpfs i-0125c77cb7bd8eef2 (sysbench-client) /dev/shm,loop0 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/amazon-ssm-agent/11798,loop5 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/snapd/25939,tmpfs tmpfs i-0125c77cb7bd8eef2 (sysbench-client) /run/snapd/ns,tmpfs tmpfs i-0125c77cb7bd8eef2 (sysbench-client) /run,nvme0n1p15 vfat i-0125c77cb7bd8eef2 (sysbench-client) /boot/efi,devtmpfs devtmpfs i-0125c77cb7bd8eef2 (sysbench-client) /dev,loop1 squashfs i-0125c77cb7bd8eef2 (sysbench-client) /snap/core20/2603
2026/01/13 17:13:00,0,0,6.72304027508988,0,0.005521643599295816,0,,,,,,,,,,,,,,,,,,
2026/01/13 17:14:00,0,0,6.722830405154863,0,0.005521643599295816,0,,,,,,,,,,,,,,,,,,
2026/01/13 17:15:00,0,0,6.722906721494868,0,0.005521643599295816,0,,,,,,,,,,,,,,,,,,
2026/01/13 17:16:00,0,0,6.722906721494868,0,0.005521643599295816,0,,,,,,,,,,,,,,,,,,
2026/01/13 17:17:00,0,0,6.722906721494868,0,0.005521643599295816,0,,,,,,,,,,,,,,,,,,
2026/01/13 17:18:00,0,0,6.722963958749874,0,0.005521643599295816,0,,,,,,,,,,,,,,,,,,
