[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] Flag --clusters_to_watch has been deprecated, use --clusters-to-watch instead 
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] Flag --topo_global_root has been deprecated, use --topo-global-root instead 
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] Flag --topo_global_server_address has been deprecated, use --topo-global-server-address instead 
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] Flag --topo_implementation has been deprecated, use --topo-implementation instead 
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.446291       1 servenv_unix.go:57] Version: 23.0.0 (Git revision bee41a670a0e18e7400364712263bab171ee89dc branch 'HEAD') built on Tue Nov  4 14:37:43 UTC 2025 by vitess@buildkitsandbox using go1.25.1 linux/amd64
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] E0212 18:42:13.446880       1 syslogger.go:171] can't connect to syslog: Unix syslog delivery error
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.447119       1 cli.go:56] starting vtorc
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.447587       1 cli.go:63] Running with Configuration - map[allow-emergency-reparent:true allow-recovery:true audit-file-location: audit-purge-duration:168h0m0s audit-to-backend:false audit-to-syslog:false backend-read-concurrency:32 backend-write-concurrency:24 change-tablets-with-errant-gtid-to-drained:false config:map[file: name:vtconfig notfound:map[handling:1] paths:[/] persistence:map[min_interval:1s] type:] config-file: config-file-not-found-handling:1 config-name:vtconfig config-path:[/] config-persistence-min-interval:1s config-type: discovery-workers:300 enable-primary-disk-stalled-recovery:false instance-poll-time:1s prevent-cross-cell-failover:false reasonable-replication-lag:10s recovery-poll-duration:1s snapshot-topology-interval:0s sqlite-data-file:file::memory:?mode=memory&cache=shared tolerable-replication-lag:0s topo-information-refresh-duration:15s trace:map[datadog:map[agent:map[host: port:] trace_debug_mode:false] enable-logging:false jaeger:map[agent-host: sampling_rate:0.1 sampling_type:const] service:noop] wait-replicas-timeout:30s]
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.447912       1 discovery.go:26] Starting Discovery
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.449080       1 grpc_server.go:210] Skipping gRPC server creation
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.449876       1 vtorc.go:248] continuous discovery: setting up
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.452659       1 unix_socket.go:38] Not listening on socket file
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.461459       1 db.go:49] Connected to vtorc backend: sqlite on file::memory:?mode=memory&cache=shared
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.461487       1 db.go:105] Initializing vtorc
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.461493       1 db.go:106] Migrating database schema
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:13.506330       1 vtorc.go:277] continuous discovery: starting
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:28.537005       1 tablet_discovery.go:348] Discovered: alias:{cell:"zone1" uid:1954987028} hostname:"10.0.3.106" port_map:{key:"grpc" value:15999} port_map:{key:"vt" value:15000} keyspace:"benchmark" shard:"66-99" key_range:{start:"f" end:"\x99"} type:REPLICA db_name_override:"benchmark" mysql_hostname:"10.0.3.106" default_conn_collation:255
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:28.537552       1 tablet_discovery.go:348] Discovered: alias:{cell:"zone1" uid:3655057523} hostname:"10.0.4.61" port_map:{key:"grpc" value:15999} port_map:{key:"vt" value:15000} keyspace:"benchmark" shard:"66-99" key_range:{start:"f" end:"\x99"} type:REPLICA db_name_override:"benchmark" mysql_hostname:"10.0.4.61" default_conn_collation:255
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:28.544304       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:28.544410       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.61:15999", ServerName: "10.0.4.61:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:29.550848       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:29.550944       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.61:15999", ServerName: "10.0.4.61:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:31.098710       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:31.378781       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.61:15999", ServerName: "10.0.4.61:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:33.709158       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:33.796003       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.61:15999", ServerName: "10.0.4.61:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:37.049191       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:37.115431       1 component.go:39] [core] [Channel #7 SubChannel #8]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.61:15999", ServerName: "10.0.4.61:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:42.906189       1 component.go:39] [core] [Channel #9 SubChannel #10]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.540944       1 vtorc.go:204]  DiscoverInstance(zone1-3655057523) instance is nil in 15.003s (Backend: 0.002s, Instance: 15.001s), error=Code: DEADLINE_EXCEEDED
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] rpc error: code = DeadlineExceeded desc = latest balancer error: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.541080       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-3655057523, took 15.0035s
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.541420       1 vtorc.go:204]  DiscoverInstance(zone1-1954987028) instance is nil in 15.003s (Backend: 0.001s, Instance: 15.001s), error=Code: DEADLINE_EXCEEDED
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] rpc error: code = DeadlineExceeded desc = latest balancer error: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.541595       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-1954987028, took 15.0027s
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:43.582577       1 analysis_dao.go:375] analysis: Alias: zone1-1954987028, Keyspace: benchmark, Shard: 66-99, IsPrimary: false, LastCheckValid: false, LastCheckPartialSuccess: false, CountReplicas: 0, CountValidReplicas: 0, CountValidReplicatingReplicas: 0, CountLaggingReplicas: 0, CountDelayedReplicas: 0
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.586393       1 component.go:39] [core] [Channel #11 SubChannel #12]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.61:15999", ServerName: "10.0.4.61:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:43.587206       1 analysis_dao.go:375] analysis: Alias: zone1-3655057523, Keyspace: benchmark, Shard: 66-99, IsPrimary: false, LastCheckValid: false, LastCheckPartialSuccess: false, CountReplicas: 0, CountValidReplicas: 0, CountValidReplicatingReplicas: 0, CountLaggingReplicas: 0, CountDelayedReplicas: 0
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:43.587597       1 log.go:135] Recovery for InvalidReplica on benchmark/66-99: Starting checkAndRecover
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.588331       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: Skipping recovery for problem: InvalidReplica, recovery: NoRecoveryAction, reason: , aborting recovery
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:43.588537       1 log.go:135] Recovery for InvalidReplica on benchmark/66-99: Starting checkAndRecover
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.595717       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: Skipping recovery for problem: InvalidReplica, recovery: NoRecoveryAction, reason: , aborting recovery
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.595806       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: executeCheckAndRecoverFunction: ignoring analysisEntry that has no action plan: tablet: zone1-1954987028
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.601709       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: executeCheckAndRecoverFunction: ignoring analysisEntry that has no action plan: tablet: zone1-3655057523
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:43.601868       1 component.go:39] [core] [Channel #13 SubChannel #14]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:44.456722       1 log.go:135] Recovery for InvalidReplica on benchmark/66-99: Starting checkAndRecover
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:44.456752       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: Skipping recovery for problem: InvalidReplica, recovery: NoRecoveryAction, reason: , aborting recovery
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:44.457328       1 log.go:135] Recovery for InvalidReplica on benchmark/66-99: Starting checkAndRecover
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:44.457423       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: Skipping recovery for problem: InvalidReplica, recovery: NoRecoveryAction, reason: , aborting recovery
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:44.588747       1 component.go:39] [core] [Channel #11 SubChannel #12]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.4.61:15999", ServerName: "10.0.4.61:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.4.61:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:44.603082       1 component.go:39] [core] [Channel #13 SubChannel #14]grpc: addrConn.createTransport failed to connect to {Addr: "10.0.3.106:15999", ServerName: "10.0.3.106:15999", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 10.0.3.106:15999: connect: connection refused"
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:45.454566       1 log.go:135] Recovery for InvalidReplica on benchmark/66-99: Starting checkAndRecover
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:45.454592       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: Skipping recovery for problem: InvalidReplica, recovery: NoRecoveryAction, reason: , aborting recovery
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:45.454757       1 log.go:135] Recovery for InvalidReplica on benchmark/66-99: Starting checkAndRecover
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:45.454776       1 log.go:155] Recovery for InvalidReplica on benchmark/66-99: Skipping recovery for problem: InvalidReplica, recovery: NoRecoveryAction, reason: , aborting recovery
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:45.955407       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-3655057523, took 2.3851s
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] W0212 18:42:46.334215       1 vtorc.go:153] discoverInstance exceeded InstancePollSeconds for zone1-1954987028, took 2.7566s
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:46.457893       1 log.go:135] Recovery for ClusterHasNoPrimary on benchmark/66-99: Starting checkAndRecover
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:46.457923       1 log.go:140] Recovery for ClusterHasNoPrimary on benchmark/66-99: executeCheckAndRecoverFunction: proceeding with ClusterHasNoPrimary detection on zone1-1954987028; isActionable?: true
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] I0212 18:42:46.465662       1 locks.go:166] Locking shard benchmark/66-99 for action VTOrc Recovery for ClusterHasNoPrimary on zone1-1954987028 with options: {lockType:1 ttl:0}
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] E0212 18:42:46.476934       1 log.go:170] Recovery for ClusterHasNoPrimary on benchmark/66-99: Failed to lock shard, aborting recovery: node already exists: lock already exists at path keyspaces/benchmark/shards/66-99
[pod/example-benchmark-66-99-zone1-vtorc-77bc27e1-59f6db89bd-6fxvl/vtorc] E0212 18:42:46.477276       1 topology_recovery.go:988] node already exists: lock already exists at path keyspaces/benchmark/shards/66-99
