[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --clusters_to_watch has been deprecated, use --clusters-to-watch instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --topo_global_root has been deprecated, use --topo-global-root instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --topo_global_server_address has been deprecated, use --topo-global-server-address instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] Flag --topo_implementation has been deprecated, use --topo-implementation instead 
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.596786       1 servenv_unix.go:57] Version: 23.0.0 (Git revision bee41a670a0e18e7400364712263bab171ee89dc branch 'HEAD') built on Tue Nov  4 14:37:43 UTC 2025 by vitess@buildkitsandbox using go1.25.1 linux/amd64
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] E0212 18:42:13.597275       1 syslogger.go:171] can't connect to syslog: Unix syslog delivery error
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.597308       1 cli.go:56] starting vtorc
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.597604       1 cli.go:63] Running with Configuration - map[allow-emergency-reparent:true allow-recovery:true audit-file-location: audit-purge-duration:168h0m0s audit-to-backend:false audit-to-syslog:false backend-read-concurrency:32 backend-write-concurrency:24 change-tablets-with-errant-gtid-to-drained:false config:map[file: name:vtconfig notfound:map[handling:1] paths:[/] persistence:map[min_interval:1s] type:] config-file: config-file-not-found-handling:1 config-name:vtconfig config-path:[/] config-persistence-min-interval:1s config-type: discovery-workers:300 enable-primary-disk-stalled-recovery:false instance-poll-time:1s prevent-cross-cell-failover:false reasonable-replication-lag:10s recovery-poll-duration:1s snapshot-topology-interval:0s sqlite-data-file:file::memory:?mode=memory&cache=shared tolerable-replication-lag:0s topo-information-refresh-duration:15s trace:map[datadog:map[agent:map[host: port:] trace_debug_mode:false] enable-logging:false jaeger:map[agent-host: sampling_rate:0.1 sampling_type:const] service:noop] wait-replicas-timeout:30s]
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.597695       1 discovery.go:26] Starting Discovery
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.597764       1 vtorc.go:248] continuous discovery: setting up
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.598371       1 grpc_server.go:210] Skipping gRPC server creation
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.601395       1 unix_socket.go:38] Not listening on socket file
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.608412       1 db.go:49] Connected to vtorc backend: sqlite on file::memory:?mode=memory&cache=shared
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.608466       1 db.go:105] Initializing vtorc
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.608496       1 db.go:106] Migrating database schema
[pod/example-benchmark-99-cc-zone1-vtorc-cfdbb544-79dc978d8-sw6jv/vtorc] I0212 18:42:13.629680       1 vtorc.go:277] continuous discovery: starting
